datetime,MCD_buy_hold,S12_full,L1+L4
2025-10-15,53080.7375026936,52262.087371161135,49775.08532322121
2025-10-16,53094.79088469512,52262.087371161135,49775.08532322121
2025-10-17,53573.6581823367,52262.087371161135,49775.08532322121
2025-10-20,53518.00188153598,52262.087371161135,49775.08532322121
2025-10-21,53468.045758444096,52262.087371161135,49775.08532322121
2025-10-22,53924.590329034894,52262.087371161135,49775.08532322121
2025-10-23,53383.766263522746,52262.087371161135,49775.08532322121
2025-10-24,53179.24211188931,52040.95576634757,49722.43317588596
2025-10-27,53911.14278572472,52757.190317270455,49893.5144140766
2025-10-28,53283.307086807305,52142.793260479935,49598.00136127245
2025-10-29,52576.73401400049,51451.34418058771,49269.14966134121
2025-10-30,52592.70698926534,51466.97525892209,49276.63372176849
2025-10-31,51894.89672126625,50784.10141852705,48949.72774038881
2025-11-03,51536.10088287435,50432.98550161316,48780.51111492754
2025-11-04,52028.87635794263,50915.213259707445,49237.18221862303
2025-11-05,53150.94784742075,52013.26713245256,50299.04713397636
2025-11-06,51883.844503983666,50773.28577076899,49099.93228511005
2025-11-07,52101.94023228588,50752.976456460696,49080.292312196
2025-11-10,52004.60643840208,50752.976456460696,49080.292312196
2025-11-11,53342.55014249155,50752.976456460696,49080.292312196
2025-11-12,53361.68324136973,50752.976456460696,49080.292312196
2025-11-13,53472.88532690362,50752.976456460696,49080.292312196
2025-11-14,53377.96593048672,50752.976456460696,49080.292312196
2025-11-17,53007.836040047005,50752.976456460696,49080.292312196
2025-11-18,52954.42915692639,50681.540217098045,49063.021839829664
2025-11-19,52632.79653931909,50373.71258673895,48988.522556231954
2025-11-20,52879.95962507781,50610.26703686704,49098.64850978077
2025-11-21,53778.57705357815,51470.31436562515,49515.82830321784
2025-11-24,53004.1414067849,50729.11873754664,49159.30322743996
2025-11-25,53965.08396703717,51648.81610354831,49604.92186637849
2025-11-26,54303.530509503726,51972.735978173434,49760.47257677166
2025-11-28,54202.69935089762,51876.23265444033,49714.27478764425
2025-12-01,53083.68067208936,50805.24405015119,49201.09737436973
2025-12-02,52585.726093196725,50328.66247957762,48970.33048505537
2025-12-03,53802.87868349114,51493.57293064765,49537.06569083938
2025-12-04,53947.99811351476,51472.97550147538,49527.15827770121
2025-12-05,54418.17466588737,51900.99213554875,49630.11739058867
2025-12-08,54167.34446101731,51661.7644038167,49572.92724874159
2025-12-09,54342.14316922352,51828.47757337109,49647.95618878575
2025-12-10,54297.42849866804,51785.83123730613,49627.53012647697
2025-12-11,54155.02005344214,51650.01007753578,49562.44988602058
2025-12-12,55377.91711748597,52816.34046794691,50122.045048136875
2025-12-15,55729.38668774941,53151.55236202688,50281.10099092737
2025-12-16,54990.73891108608,52447.071686537114,49604.60959778843
2025-12-17,55721.53664066729,53144.065428950315,49924.298140922976
2025-12-18,55889.282113833324,53304.05161990615,49999.4448034077
2025-12-19,55221.63757042026,52667.289831959875,49700.802065174925
2025-12-22,55288.6390523055,52731.192074285085,49730.95353782008
2025-12-23,54345.08190345934,51831.28037268212,49306.598755952924
2025-12-24,54780.65746466675,52246.70782712108,49504.194827870764
2025-12-26,54316.89349610089,51804.395856293864,49075.199678676465
2025-12-29,53940.76426448187,51445.66496515197,48735.367704522505
2025-12-30,53854.134001326915,51363.04189603379,48686.485500187984
2025-12-31,53434.22956445226,50962.56067795325,48297.13628180333
2026-01-02,53019.482619949544,50566.9983858139,47922.26253768118
2026-01-05,52423.43284761899,49998.5196609015,47383.51617005061
2026-01-06,52933.88416216261,50485.35939458181,47844.89339780687
2026-01-07,53178.61907273812,50465.165250823986,47825.755440447756
2026-01-08,54006.111342949116,50465.165250823986,47825.755440447756
2026-01-09,53733.507122153904,50465.165250823986,47825.755440447756
2026-01-12,53633.886233009434,50465.165250823986,47825.755440447756
2026-01-13,54107.893159726336,50465.165250823986,47825.755440447756
2026-01-14,53878.82476466427,50465.165250823986,47825.755440447756
2026-01-15,53964.647652225874,50465.165250823986,47825.755440447756
2026-01-16,53757.09942784456,50465.165250823986,47825.755440447756
2026-01-20,52952.454676173555,50465.165250823986,47825.755440447756
2026-01-21,53450.11146670392,50465.165250823986,47825.755440447756
2026-01-22,53509.58902024326,50465.165250823986,47825.755440447756
2026-01-23,54072.48276604342,50465.165250823986,47825.755440447756
2026-01-26,54718.18734786978,50465.165250823986,47825.755440447756
2026-01-27,54925.14225889281,50465.165250823986,47825.755440447756
2026-01-28,54693.65290283143,50465.165250823986,47825.755440447756
2026-01-29,55167.3464713112,50465.165250823986,47825.755440447756
2026-01-30,55078.22654133595,50465.165250823986,47825.755440447756
2026-02-02,55696.47970598762,51011.450730382,47955.18390667865
2026-02-03,55869.240846601264,51169.6796967199,47992.37114146346
2026-02-04,56603.1778803334,51841.88004103366,48302.80241387108
2026-02-05,56567.65156379904,51809.342096892644,48287.644071951836
2026-02-06,57212.516338373345,52399.96268637346,48562.880888828215
2026-02-09,56939.48502977971,52149.89799252389,48447.00426106608
2026-02-10,57004.240548696274,52209.20646193111,48474.55290239326
2026-02-11,56521.102462073715,51766.708572803866,48054.013070211906
2026-02-12,58064.3373867128,53180.130978298715,49366.0651712617
2026-02-13,57278.60269167809,52460.49004417688,48698.03670649045
2026-02-17,57288.64505548427,52469.687672989676,48706.57468364548
2026-02-18,57335.97975251815,52513.04071035088,48746.818451917105
2026-02-19,57199.98960224904,52388.489663554225,48631.2001753126
2026-02-20,57570.11489665216,52727.481074127754,48945.87920597727
2026-02-23,58499.51048344512,53578.6985556453,49736.04758079116
2026-02-24,58236.36510603516,53337.68821665196,49512.32244354867
2026-02-25,58229.932896222956,53331.7970659786,49506.85380474082
2026-02-26,58496.04395342359,53575.52362023946,49733.10035096537
2026-02-27,59634.91274627669,54618.59401933239,50701.361999678644
2026-03-02,58543.83647431874,53619.29597062486,49773.73335923506
2026-03-03,58408.11367432517,53494.98978536129,49658.34238275522
2026-03-04,58332.499668086304,53425.736213606964,49594.05565999477
2026-03-05,57575.72797437826,52732.621995769136,48950.65142199331
2026-03-06,57684.08658483742,52831.865789054275,49042.77747503286
2026-03-09,58171.96760102218,53278.7076460401,49457.5719448361
2026-03-10,57668.50364410147,52817.59364083623,49029.52892174605
2026-03-11,57187.54054246997,52377.08778316766,48620.61603496013
2026-03-12,56959.644168898405,52168.36140237219,48426.859458438805
2026-03-13,57407.202558059755,52578.27245668285,48807.37179357725
2026-03-16,57441.49456292742,52609.67991593317,48836.52671763804
2026-03-17,57380.329983433265,52553.66032636879,48784.5248391464
2026-03-18,55510.54032615087,50841.152040708046,47194.83722309386
2026-03-19,54430.18883828549,49851.67663785211,46276.32675077705
2026-03-20,54301.96193084094,49734.23581204149,46212.56248597464
2026-03-23,54248.10654531008,49714.34211771667,46203.319973477446
2026-03-24,54139.043444438714,49714.34211771667,46203.319973477446
2026-03-25,54815.829946695114,49714.34211771667,46203.319973477446
2026-03-26,54327.71640143578,49714.34211771667,46203.319973477446
2026-03-27,53796.66105280123,49714.34211771667,46203.319973477446
2026-03-30,54259.45179827233,49714.34211771667,46203.319973477446
2026-03-31,54656.36677508125,49714.34211771667,46203.319973477446
2026-04-01,54039.83717720816,49714.34211771667,46203.319973477446
2026-04-02,54013.540491293774,49714.34211771667,46203.319973477446
2026-04-06,54476.589871474614,49714.34211771667,46203.319973477446
2026-04-07,53614.64402468075,49714.34211771667,46203.319973477446
2026-04-08,53994.73136588479,49714.34211771667,46203.319973477446
2026-04-09,54446.015687378,49714.34211771667,46203.319973477446
2026-04-10,53763.24370787598,49714.34211771667,46203.319973477446
2026-04-13,53557.70954002649,49714.34211771667,46203.319973477446
2026-04-14,53330.995050822414,49714.34211771667,46203.319973477446
2026-04-15,53865.591987912,49714.34211771667,46203.319973477446
2026-04-16,53988.639115872575,49714.34211771667,46203.319973477446
2026-04-17,54761.70214952456,49714.34211771667,46203.319973477446
2026-04-20,53986.64060110767,49714.34211771667,46203.319973477446
2026-04-21,53086.65043216838,49714.34211771667,46203.319973477446
2026-04-22,52775.58869753954,49714.34211771667,46203.319973477446
2026-04-23,53208.20379875463,49714.34211771667,46203.319973477446
2026-04-24,52650.26215086821,49714.34211771667,46203.319973477446
2026-04-27,51033.96982074804,49714.34211771667,46203.319973477446
2026-04-28,51417.10460410386,49714.34211771667,46203.319973477446
2026-04-29,51010.08130965409,49714.34211771667,46203.319973477446
2026-04-30,51626.44482694119,49714.34211771667,46203.319973477446
2026-05-01,50409.66032947177,49714.34211771667,46203.319973477446
2026-05-04,49962.52963674735,49714.34211771667,46203.319973477446
2026-05-05,50150.56196864607,49714.34211771667,46203.319973477446
2026-05-06,49966.147443876886,49714.34211771667,46203.319973477446
2026-05-07,49905.209700360334,49714.34211771667,46203.319973477446
2026-05-08,48514.15858666765,49714.34211771667,46203.319973477446
2026-05-11,48311.89763659322,49714.34211771667,46203.319973477446
2026-05-12,48361.7699499565,49714.34211771667,46203.319973477446
2026-05-13,48513.36191042479,49714.34211771667,46203.319973477446
2026-05-14,48388.66961209736,49714.34211771667,46203.319973477446
2026-05-15,48638.30704811986,49714.34211771667,46203.319973477446
2026-05-18,49710.66420795967,49714.34211771667,46203.319973477446
2026-05-19,49418.263873097894,49714.34211771667,46203.319973477446
2026-05-20,49324.982501751154,49714.34211771667,46203.319973477446
2026-05-21,50011.5795093942,49714.34211771667,46203.319973477446
2026-05-22,49674.912830986876,49714.34211771667,46203.319973477446
2026-05-26,49143.82561267962,49714.34211771667,46203.319973477446
2026-05-27,49435.534814301005,49714.34211771667,46203.319973477446
2026-05-28,48915.23205085571,49714.34211771667,46203.319973477446
2026-05-29,49131.84914703464,49714.34211771667,46203.319973477446
2026-06-01,48586.71172260601,49714.34211771667,46203.319973477446
2026-06-02,48962.3334336255,49714.34211771667,46203.319973477446
2026-06-03,48417.489678414175,49714.34211771667,46203.319973477446
2026-06-04,48331.11531097039,49714.34211771667,46203.319973477446
2026-06-05,49587.009956409755,49714.34211771667,46203.319973477446
2026-06-08,49221.61934477498,49714.34211771667,46203.319973477446
2026-06-09,50014.19105311189,49714.34211771667,46203.319973477446
2026-06-10,50064.35482516888,49714.34211771667,46203.319973477446
2026-06-11,50462.682312734476,49714.34211771667,46203.319973477446
2026-06-12,50470.678944948086,49714.34211771667,46203.319973477446
2026-06-15,50703.5047329822,49714.34211771667,46203.319973477446
2026-06-16,51024.336525637606,49714.34211771667,46203.319973477446
2026-06-17,50293.46833198213,49714.34211771667,46203.319973477446
2026-06-18,49372.25551626009,48783.85127442265,45987.12599235572
2026-06-22,47857.10196305828,47286.7548824426,45634.30862245701
2026-06-23,48138.97440251632,47565.2680478043,45764.13542174621
2026-06-24,48531.797523852874,47953.409616951874,45950.85741514932
2026-06-25,46870.4389416144,46311.85062512668,45164.35397593142
2026-06-26,47794.53581709448,46293.325884876635,45155.32110513623
2026-06-29,47338.271855857114,46293.325884876635,45155.32110513623
2026-06-30,47891.4163666214,46293.325884876635,45155.32110513623
2026-07-01,47735.47171359854,46293.325884876635,45155.32110513623
2026-07-02,49706.15988027277,46293.325884876635,45155.32110513623
2026-07-06,49505.807616594226,46293.325884876635,45155.32110513623
2026-07-07,49990.07577204023,46293.325884876635,45155.32110513623
2026-07-08,49286.82352050138,46293.325884876635,45155.32110513623
2026-07-09,48975.674677956355,46293.325884876635,45155.32110513623
2026-07-10,48644.848259417435,46293.325884876635,45155.32110513623
2026-07-13,48295.42767875473,46293.325884876635,45155.32110513623
2026-07-14,47644.03989800305,46293.325884876635,45155.32110513623
2026-07-15,46935.29840906916,46293.325884876635,45155.32110513623
2026-07-16,48434.80118839761,46293.325884876635,45155.32110513623
2026-07-17,47423.60101337697,46293.325884876635,45155.32110513623
2026-07-20,47414.03164333318,46293.325884876635,45155.32110513623
2026-07-21,46751.29476966245,46293.325884876635,45155.32110513623
2026-07-22,46693.60692256195,46293.325884876635,45155.32110513623
2026-07-23,46558.83586964725,46293.325884876635,45155.32110513623
2026-07-24,46905.43727454453,46293.325884876635,45155.32110513623
2026-07-27,47946.71338186513,46293.325884876635,45155.32110513623
2026-07-28,48374.323903526114,46293.325884876635,45155.32110513623
2026-07-29,48108.26904047546,46293.325884876635,45155.32110513623
2026-07-30,47561.16986198636,46293.325884876635,45155.32110513623
2026-07-31,47954.04149783984,46293.325884876635,45155.32110513623
2026-08-03,47029.60277092628,46293.325884876635,45155.32110513623
2026-08-04,47587.71077177283,46293.325884876635,45155.32110513623
2026-08-05,48586.37764207049,46293.325884876635,45155.32110513623
2026-08-06,48986.794229505205,46293.325884876635,45155.32110513623
