datetime,AAPL_buy_hold,S12_full,L1+L4
2025-09-08,49349.52966626155,47740.197827016455,49734.81219040918
2025-09-09,48615.17160979492,47029.78783671519,49359.79303432881
2025-09-10,47036.450507873866,45502.55022717578,48558.34212641873
2025-09-11,47708.17148202737,46152.36578585512,48905.06957421984
2025-09-12,48549.62269701475,46966.3765319949,49336.350305947024
2025-09-15,49095.88878708352,47494.82840139341,49613.90936493378
2025-09-16,49396.24081693323,47785.385685723006,49907.50768746861
2025-09-17,49570.45981938572,47953.923252312896,50083.52991224527
2025-09-18,49341.9938602254,47732.90777028473,49852.69925743136
2025-09-19,50910.26560577978,49250.0367862168,51437.20311648745
2025-09-22,53086.08432046976,51354.90012691122,53635.54224987155
2025-09-23,52743.80094824934,51023.77891839698,53451.902084194255
2025-09-24,52306.189548317016,50600.438413524666,53230.15885295595
2025-09-25,53248.81929092234,51512.32816594866,53709.79932544777
2025-09-26,52959.60482074807,51232.5452356162,53563.94021193196
2025-09-29,52745.9783454973,51025.885308793586,53455.90810154567
2025-09-30,52787.52333352935,51066.0754779965,53476.9601810784
2025-10-01,52957.37856409406,51230.391579162024,53562.997002166456
2025-10-02,53305.15786428935,51566.829488575684,53904.04089296371
2025-10-03,53496.368976149344,51751.805036846425,54097.40026015911
2025-10-06,53220.58307624145,51485.01275921898,53818.51590783835
2025-10-07,53177.08039399077,51442.92873793858,53774.52447329529
2025-10-08,53504.61941275131,51759.786419408745,54105.7433903513
2025-10-09,52670.37061711074,50952.743215346374,53262.12181606381
2025-10-10,50859.159437657865,49200.59723546889,51430.561693278265
2025-10-13,51360.630292112284,49685.71468153252,51937.66656883196
2025-10-14,51384.483493528176,49708.790008938944,51961.78776077784
2025-10-15,51710.296067674,50023.97754668128,52291.260836627494
2025-10-16,51317.604904298096,49644.0923896946,51894.15779112463
2025-10-17,52319.31238536195,50613.1333032392,52907.11944784692
2025-10-20,54364.19539961589,52591.33087257348,54974.97670665668
2025-10-21,54474.315133715325,52697.85950468241,55086.33363510121
2025-10-22,53578.35579087236,51831.118188978864,54180.30819609966
2025-10-23,53813.03113545408,52058.140562874236,54417.62011632901
2025-10-24,54482.6403157311,52705.91319514445,55094.75235047135
2025-10-27,55718.02878955526,53901.014557455965,56344.02040406671
2025-10-28,55757.40769998518,53939.10928676444,56383.841736245085
2025-10-29,55902.41150011744,54079.384384638695,56530.474652929515
2025-10-30,56255.80794532755,54421.25625899678,56887.841504417556
2025-10-31,56070.007358746945,54241.514793987466,56699.9534497104
2025-11-03,55796.30696706599,53976.74001431791,56423.178036285106
2025-11-04,56002.57497362902,54176.281438629325,56631.76346227693
2025-11-05,56025.005681182185,54197.980660956855,56654.44617865273
2025-11-06,55951.53854977153,54126.90935772363,56580.15364459945
2025-11-07,55681.94465926163,53866.10716258748,56307.53086885349
2025-11-10,55934.95272689999,54110.86441321522,56563.38148013861
2025-11-11,57141.62125876868,55278.18241629703,57783.606923456864
2025-11-12,56771.80551416178,54920.42669042738,57409.636301872655
2025-11-13,56664.42166492282,54816.54472355223,57301.045995933455
2025-11-14,56554.2899127979,54710.00446533628,57189.67691444102
2025-11-17,55522.862090002614,53712.212416708106,56146.661008182055
2025-11-18,55523.67802032533,53713.001738820865,56147.48610547553
2025-11-19,55760.72116998877,53942.31470157861,56387.19243305805
2025-11-20,55289.07414179378,53486.048500404526,55910.24645421686
2025-11-21,56378.49664300617,54539.9439696584,57011.908608648046
2025-11-24,57300.721399750044,55432.094160869325,57944.49455326878
2025-11-25,57519.61269548767,55643.847217723094,58165.84509098962
2025-11-26,57640.060759972046,55760.36736422202,58287.6463885296
2025-11-28,57910.38678032901,56021.877813802945,58561.0095195957
2025-12-01,58796.20428111876,56878.80802189867,59456.77917302845
2025-12-02,59438.18916206451,57499.85720768771,60105.976749054156
2025-12-03,59014.51926232671,57090.00355834962,59677.54692133042
2025-12-04,58297.871368820495,56396.72618692026,58952.84749438632
2025-12-05,57898.90224277977,56010.767797187575,58549.39595335756
2025-12-08,57713.94735200202,55831.844449092496,58362.36309583896
2025-12-09,57566.68213844648,55689.38168448817,58213.44335876927
2025-12-10,57898.54506561704,56010.42226788825,58549.03476331222
2025-12-11,57743.03848721645,55859.98689664047,58391.78106972836
2025-12-12,57794.9982134833,55910.25217024678,58444.32456311048
2025-12-15,56937.313444732754,55080.53726089957,57577.00371273976
2025-12-16,57042.93241225652,55182.71190041425,57683.8093085316
2025-12-17,56468.496504407594,54627.00885592509,57102.91961778331
2025-12-18,56543.11208513061,54699.191156522174,57178.37350396795
2025-12-19,56850.606663804225,54996.658064837,57489.32278181057
2025-12-22,56288.55594334979,54452.936315819876,56920.95742593958
2025-12-23,56577.45162662959,54732.41085518063,57213.09884994514
2025-12-24,56878.680050109564,55023.815953168545,57517.711572389875
2025-12-26,56793.711889200684,54941.61867918801,57431.788794862536
2025-12-29,56869.0826983035,54919.64203171633,57408.81607934461
2025-12-30,56728.01247365441,54919.64203171633,57408.81607934461
2025-12-31,56474.55756738555,54919.64203171633,57408.81607934461
2026-01-02,56298.36612796861,54919.64203171633,57408.81607934461
2026-01-05,55518.39930560738,54919.64203171633,57408.81607934461
2026-01-06,54499.57134025907,54919.64203171633,57408.81607934461
2026-01-07,54079.78379755301,54919.64203171633,57408.81607934461
2026-01-08,53817.217533745374,54919.64203171633,57408.81607934461
2026-01-09,53885.765387284555,54919.64203171633,57408.81607934461
2026-01-12,54068.77848968753,54919.64203171633,57408.81607934461
2026-01-13,54237.84182732412,54919.64203171633,57408.81607934461
2026-01-14,54011.961003673416,54919.64203171633,57408.81607934461
2026-01-15,53649.702856731106,54919.64203171633,57408.81607934461
2026-01-16,53092.278324203326,54919.64203171633,57408.81607934461
2026-01-20,51243.75982406458,54919.64203171633,57408.81607934461
2026-01-21,51442.84564922522,54919.64203171633,57408.81607934461
2026-01-22,51589.35023570862,54919.64203171633,57408.81607934461
2026-01-23,51525.575660382514,54919.64203171633,57408.81607934461
2026-01-26,53045.38639871663,54919.64203171633,57408.81607934461
2026-01-27,53642.07608403877,54919.64203171633,57408.81607934461
2026-01-28,53261.3956285142,54919.64203171633,57408.81607934461
2026-01-29,53643.19828086461,54919.64203171633,57408.81607934461
2026-01-30,53903.34330555962,54919.64203171633,57408.81607934461
2026-02-02,56086.42366053038,54919.64203171633,57408.81607934461
2026-02-03,55976.50612403331,54919.64203171633,57408.81607934461
2026-02-04,57423.612318762884,54919.64203171633,57408.81607934461
2026-02-05,57305.879702979226,54919.64203171633,57408.81607934461
2026-02-06,57763.9785502272,54919.64203171633,57408.81607934461
2026-02-09,57090.54572713283,54919.64203171633,57408.81607934461
2026-02-10,56895.37416963978,54709.92413790942,57354.01029607331
2026-02-11,57273.11756540426,55073.1577544817,57449.207396567595
2026-02-12,54411.448685858144,52321.410541413396,56008.22884485258
2026-02-13,53175.87274261938,52300.48197719683,55997.027199083605
2026-02-17,54849.17901950252,52300.48197719683,55997.027199083605
2026-02-18,54947.0385410554,52300.48197719683,55997.027199083605
2026-02-19,54160.61040486786,52300.48197719683,55997.027199083605
2026-02-20,54999.2490185881,52300.48197719683,55997.027199083605
