,cash
2026-05-06,22747.23484820001
2026-05-07,25219.24140220001
2026-05-08,27727.012223700007
2026-05-11,28603.91716440001
2026-05-12,24631.723523100012
2026-05-13,30886.63586300001
2026-05-14,35221.00251700001
2026-05-15,25459.474197000007
2026-05-18,22728.216849800006
2026-05-19,25197.763674800008
2026-05-20,30272.040728800006
2026-05-21,32632.311828800004
2026-05-22,32632.311828800004
2026-05-26,22498.973170700003
2026-05-27,15009.811838400004
2026-05-28,26674.0426735
2026-05-29,24068.3122343
2026-06-01,24068.3122343
2026-06-02,21548.7464663
2026-06-03,16675.7166223
2026-06-04,11879.628842299997
2026-06-05,11879.628842299997
2026-06-08,16650.9913933
2026-06-09,11676.4491083
2026-06-10,11676.4491083
2026-06-11,11676.4491083
2026-06-12,8854.0944653
2026-06-15,11112.0942613
2026-06-16,11112.0942613
2026-06-17,11112.0942613
2026-06-18,15262.4993498
2026-06-22,10536.122946800002
2026-06-23,15281.798574800003
2026-06-24,10391.666582800002
2026-06-25,15308.5314718
2026-06-26,10488.2364318
2026-06-29,12814.4897438
2026-06-30,15169.294487800002
2026-07-01,10247.8001268
2026-07-02,10247.8001268
2026-07-06,24970.918038400003
2026-07-07,11296.718622100001
2026-07-08,61784.6893654
2026-07-09,61784.6893654
2026-07-10,52226.3959679
2026-07-13,52226.3959679
2026-07-14,61636.6278199
2026-07-15,61636.6278199
2026-07-16,12412.828622400008
2026-07-17,62168.99277640002
2026-07-20,62168.99277640002
2026-07-21,62168.99277640002
2026-07-22,62168.99277640002
2026-07-23,62168.99277640002
2026-07-24,62168.99277640002
2026-07-27,62168.99277640002
2026-07-28,62168.99277640002
2026-07-29,62168.99277640002
2026-07-30,62168.99277640002
2026-07-31,62168.99277640002
2026-08-03,62168.99277640002
2026-08-04,62168.99277640002
2026-08-05,47320.75450240002
2026-08-06,51632.81529080002
2026-08-07,51632.81529080002
