window,strategy,month,pnl_usd
secondary_2020_to_now,QQQ_buy_hold,2023-09,-4494.5420600904035
secondary_2020_to_now,QQQ_buy_hold,2023-10,-1733.2471029517183
secondary_2020_to_now,QQQ_buy_hold,2023-11,8892.109390927508
secondary_2020_to_now,QQQ_buy_hold,2023-12,5107.5224401218875
secondary_2020_to_now,QQQ_buy_hold,2024-01,1731.3336316978239
secondary_2020_to_now,QQQ_buy_hold,2024-02,5158.05377289161
secondary_2020_to_now,QQQ_buy_hold,2024-03,1315.74972731671
secondary_2020_to_now,QQQ_buy_hold,2024-04,-4520.309053494697
secondary_2020_to_now,QQQ_buy_hold,2024-05,6158.662336005858
secondary_2020_to_now,QQQ_buy_hold,2024-06,6864.721409814942
secondary_2020_to_now,QQQ_buy_hold,2024-07,-1954.0084242085431
secondary_2020_to_now,QQQ_buy_hold,2024-08,1376.6289869624597
secondary_2020_to_now,QQQ_buy_hold,2024-09,2939.3285212038463
secondary_2020_to_now,QQQ_buy_hold,2024-10,-1002.8543736894062
secondary_2020_to_now,QQQ_buy_hold,2024-11,6084.284321609055
secondary_2020_to_now,QQQ_buy_hold,2024-12,540.3956387446233
secondary_2020_to_now,QQQ_buy_hold,2025-01,2663.368158321944
secondary_2020_to_now,QQQ_buy_hold,2025-02,-3268.6853322657116
secondary_2020_to_now,QQQ_buy_hold,2025-03,-9179.36147953567
secondary_2020_to_now,QQQ_buy_hold,2025-04,1758.4035379242996
secondary_2020_to_now,QQQ_buy_hold,2025-05,10414.707199334545
secondary_2020_to_now,QQQ_buy_hold,2025-06,7880.103187771194
secondary_2020_to_now,QQQ_buy_hold,2025-07,3211.791577762022
secondary_2020_to_now,QQQ_buy_hold,2025-08,1249.488918977935
secondary_2020_to_now,QQQ_buy_hold,2025-09,7328.21705939286
secondary_2020_to_now,QQQ_buy_hold,2025-10,6860.481132180343
secondary_2020_to_now,QQQ_buy_hold,2025-11,-2246.9647911947977
secondary_2020_to_now,QQQ_buy_hold,2025-12,-955.941677796247
secondary_2020_to_now,QQQ_buy_hold,2026-01,1827.7572880718799
secondary_2020_to_now,QQQ_buy_hold,2026-02,-3457.8640127183753
secondary_2020_to_now,QQQ_buy_hold,2026-03,-6988.151394431072
secondary_2020_to_now,QQQ_buy_hold,2026-04,21708.51533021606
secondary_2020_to_now,QQQ_buy_hold,2026-05,16834.72074931732
secondary_2020_to_now,QQQ_buy_hold,2026-06,-366.9964367332577
secondary_2020_to_now,QQQ_buy_hold,2026-07,-11624.433353837725
secondary_2020_to_now,QQQ_buy_hold,2026-08,6353.788081860024
secondary_2020_to_now,S12_full,2020-01,692.2395304279853
secondary_2020_to_now,S12_full,2020-02,512.2214511756902
secondary_2020_to_now,S12_full,2020-03,0.0
secondary_2020_to_now,S12_full,2020-04,0.0
secondary_2020_to_now,S12_full,2020-05,730.8366129228452
secondary_2020_to_now,S12_full,2020-06,95.00515353355149
secondary_2020_to_now,S12_full,2020-07,479.179152611614
secondary_2020_to_now,S12_full,2020-08,4921.093022985508
secondary_2020_to_now,S12_full,2020-09,-1509.6910315925852
secondary_2020_to_now,S12_full,2020-10,-2529.5340065704513
secondary_2020_to_now,S12_full,2020-11,0.0
secondary_2020_to_now,S12_full,2020-12,2605.5476713246535
secondary_2020_to_now,S12_full,2021-01,118.94982897323644
secondary_2020_to_now,S12_full,2021-02,-71.52694237181277
secondary_2020_to_now,S12_full,2021-03,-922.3032981640499
secondary_2020_to_now,S12_full,2021-04,1040.3413052454998
secondary_2020_to_now,S12_full,2021-05,-3111.3541731424775
secondary_2020_to_now,S12_full,2021-06,2857.6347578280474
secondary_2020_to_now,S12_full,2021-07,1612.330248610786
secondary_2020_to_now,S12_full,2021-08,2425.4078662375396
secondary_2020_to_now,S12_full,2021-09,-3129.549572677097
secondary_2020_to_now,S12_full,2021-10,1215.6336023957992
secondary_2020_to_now,S12_full,2021-11,1150.3902804334648
secondary_2020_to_now,S12_full,2021-12,-1053.0303071081944
secondary_2020_to_now,S12_full,2022-01,-2624.474689756149
secondary_2020_to_now,S12_full,2022-02,0.0
secondary_2020_to_now,S12_full,2022-03,0.0
secondary_2020_to_now,S12_full,2022-04,0.0
secondary_2020_to_now,S12_full,2022-05,0.0
secondary_2020_to_now,S12_full,2022-06,0.0
secondary_2020_to_now,S12_full,2022-07,905.870539119067
secondary_2020_to_now,S12_full,2022-08,-3474.6653791260615
secondary_2020_to_now,S12_full,2022-09,8.863817619938345
secondary_2020_to_now,S12_full,2022-10,0.0
secondary_2020_to_now,S12_full,2022-11,0.0
