datetime,QQQ_buy_hold,S12_full,CoreSat_SoftVol
2025-12-24,61688.644486397105,56291.487476827926,58162.61028516469
2025-12-26,61684.78354467961,56291.487476827926,58160.0621060756
2025-12-29,61386.65240278325,56291.487476827926,57963.29513515608
2025-12-30,61244.205630008095,56142.48889800709,57822.66481345136
2025-12-31,60738.17193328497,55678.608422980134,57344.901790338576
2026-01-02,60626.87730993216,55576.584776959804,57239.82488329945
2026-01-05,61109.75128922201,56019.23476715143,57695.72205698953
2026-01-06,61645.86824137207,56510.69252588134,58201.88766900285
2026-01-07,61705.26194874829,56565.1386652782,58257.963217674194
2026-01-08,61353.81848509128,56242.97086909777,57926.1539078648
2026-01-09,61964.13291427124,56802.44536488159,58502.37179339802
2026-01-12,62018.899105904544,56852.649466218696,58554.07835256303
2026-01-13,61926.95189627178,56768.36157085114,58467.267973876005
2026-01-14,61263.68684689068,56160.34730585644,57841.05766976113
2026-01-15,61489.56557539197,56367.41006186295,58054.31719157652
2026-01-16,61440.632646326485,56322.553305235204,58008.11800707265
2026-01-20,60130.90365470539,55121.926329751055,56771.55987557393
2026-01-21,60942.21811579891,55865.657310603514,57537.5484888564
2026-01-22,61386.76385727526,56273.17185175488,57957.2587151417
2026-01-23,61581.07911665667,56451.300413964345,58140.71812972255
2026-01-26,61851.867659852265,56699.53194254209,58396.37848170938
2026-01-27,62411.36812006878,57212.425334708874,58924.62123122786
2026-01-28,62619.548629703655,57403.26415498139,59121.1712836856
2026-01-29,62244.466584723625,57059.42690001966,58767.04401333699
2026-01-30,61494.60043976468,56372.02551591677,58059.07077229504
2026-02-02,61920.62245046357,56762.559375568155,58461.292136330914
2026-02-03,60973.279108300514,55894.130884695034,57566.87419142236
2026-02-04,59905.893629246355,54915.659912768024,56559.12052481502
2026-02-05,59040.628492054646,54122.47241267878,55758.07503621087
2026-02-06,60283.70184863948,55261.99624850232,56874.64225342681
2026-02-09,60747.81121125897,55687.44473738857,57259.09545323751
2026-02-10,60466.59269425611,55669.2518346344,57097.25581638312
2026-02-11,60631.3469504477,55669.2518346344,57188.738894874055
2026-02-12,59401.79320795178,55669.2518346344,56506.768992731326
2026-02-13,59528.42679145607,55669.2518346344,56572.17004195526
2026-02-17,59468.81960092031,55669.2518346344,56540.75546149372
2026-02-18,59912.39969702262,55669.2518346344,56774.63838721284
2026-02-19,59683.265215526495,55669.2518346344,56643.758199861186
2026-02-20,60216.192827336265,55669.2518346344,56956.61788275017
2026-02-23,59482.40808045818,55669.2518346344,56525.561807478975
2026-02-24,60120.44889936674,55669.2518346344,56902.125982701145
2026-02-25,60988.88275248767,55669.2518346344,57384.78689928691
2026-02-26,60251.962909602866,55669.2518346344,56976.45879388026
2026-02-27,60063.54231852487,55669.2518346344,56874.950061350806
2026-03-02,60155.514345831965,55669.2518346344,56923.93727113979
2026-03-03,59521.74989960828,55669.2518346344,56586.600086410224
2026-03-04,60426.26489837988,55669.2518346344,57070.293908308144
2026-03-05,60245.04653279564,55669.2518346344,56974.021147674735
2026-03-06,59337.9694520637,55669.2518346344,56456.14914862084
2026-03-09,60142.89847359118,55669.2518346344,56917.13666601572
2026-03-10,60143.89139461434,55669.2518346344,56916.29531881159
2026-03-11,60136.20805164881,55669.2518346344,56911.661445749465
2026-03-12,59099.620640492445,55669.2518346344,56286.46000785933
2026-03-13,58751.78086850984,55669.2518346344,56082.595095486795
2026-03-16,59410.47292671662,55669.2518346344,56500.0583269983
2026-03-17,59700.33325558297,55669.2518346344,56676.72562589754
2026-03-18,58866.15661962325,55669.2518346344,56165.74930389194
2026-03-19,58683.29987308184,55669.2518346344,56055.89042561112
2026-03-20,57595.778924399696,55669.2518346344,55408.978412910204
2026-03-23,58260.806070473256,55669.2518346344,55790.60832424432
2026-03-24,57862.040046154936,55669.2518346344,55562.089623972075
2026-03-25,58243.664394433035,55669.2518346344,55781.39026129735
2026-03-26,56845.68701594172,55669.2518346344,54929.72393623188
2026-03-27,55730.85577205148,55669.2518346344,54297.321094179104
2026-03-30,55312.51045128718,55669.2518346344,54069.39322203944
2026-03-31,57171.45322286604,55669.2518346344,55079.71494981827
2026-04-01,57875.630614941096,55669.2518346344,55387.41351692517
2026-04-02,57961.638334515956,55669.2518346344,55425.0474036985
2026-04-06,58309.935100936826,55669.2518346344,55577.32680313351
2026-04-07,58320.28029856681,55669.2518346344,55581.83517965944
2026-04-08,60062.84214554521,55669.2518346344,56384.07183448441
2026-04-09,60469.26108512468,55669.2518346344,56546.733763337834
2026-04-10,60556.67348752306,55669.2518346344,56581.95617370929
2026-04-13,61185.02544507622,55669.2518346344,56834.93960203683
2026-04-14,62292.171348070646,55669.2518346344,57278.087066493135
2026-04-15,63163.59948812532,56429.848447355376,57861.251825656
2026-04-16,63467.46570913364,56701.32006928209,58065.97117489067
2026-04-17,64295.319801922524,57440.91821396006,58623.002797300935
2026-04-20,64091.03705513624,57258.41366173411,58486.01688660151
2026-04-21,63848.28576153204,57041.54162119975,58313.72108007771
2026-04-22,64912.10557919582,57991.94963424129,59063.002490377396
2026-04-23,64545.97270125173,57664.849485082384,58806.09076780169
2026-04-24,65774.84616724818,58762.715091367114,59669.49802492536
2026-04-27,65809.58176504177,58793.747593236934,59693.54740148726
2026-04-28,65147.894545591276,58202.601588010264,59161.43419559452
2026-04-29,65545.70301765925,58558.00045653246,59480.460215341736
2026-04-30,66155.65475569096,59102.92640147963,60016.12265506347
2026-05-01,66789.67496582771,59669.35492456122,60575.29145969045
2026-05-04,66663.98530757744,59557.06480138997,60464.46981314133
2026-05-05,67526.17783301763,60327.34062381486,61224.7122356134
2026-05-06,68921.89025376752,61574.2588016463,62454.950974603664
2026-05-07,68839.85940082143,61500.97310169779,62379.26166303726
2026-05-08,70445.55211843993,62935.4859768747,63834.26065714563
2026-05-11,70649.94545867972,63118.08933239672,64013.44078635397
2026-05-12,70050.01253290221,62582.114113211064,63483.68803647637
2026-05-13,70788.09652042337,63241.51237256879,64135.572899069004
2026-05-14,71291.29890469008,63691.069309042236,64579.88957738796
2026-05-15,70214.05169536083,62728.665372987045,63628.874659060486
2026-05-18,69914.02494532485,62460.62390334494,63379.60813967044
2026-05-19,69484.66302129756,62077.03543628045,63025.75793867463
2026-05-20,70631.44188011704,63101.55838510291,63971.38408781279
2026-05-21,70769.3414646014,63224.756757527335,64084.927333964755
2026-05-22,71069.71090197032,63493.10438125851,64332.20059511941
2026-05-26,72326.60440273593,64616.00285977229,65408.42689254659
2026-05-27,72245.67139657898,64543.69796725767,65339.610210691986
2026-05-28,72854.54629719318,65087.66187437347,65862.15460966389
2026-05-29,73122.80666175322,65327.32351239334,66092.90213967329
2026-06-01,73562.53347323423,65720.17188600094,66471.07137088661
2026-06-02,73901.4233503448,66022.9333587585,66762.4353580524
2026-06-03,73708.76769269838,65850.81635384403,66596.83456621875
2026-06-04,73358.24186628696,65537.6594181789,66295.49529553385
2026-06-05,69801.18942383629,62359.817561897056,63079.10239628609
2026-06-08,70894.2441654153,63336.34381929572,63811.80180323618
2026-06-09,70092.78139957298,62620.32347246315,63272.56040484229
2026-06-10,68685.63226923923,61363.18783087437,62323.06670735934
2026-06-11,70991.40879410469,63423.14991197914,63886.97028359741
2026-06-12,71408.91878382085,63402.64301334101,64027.56038863513
2026-06-15,73638.87943705883,63402.64301334101,64816.60750839814
2026-06-16,72236.45015097977,63402.64301334101,64354.018496213364
2026-06-17,71518.09804027175,63402.64301334101,64114.836759451246
2026-06-18,73303.98466360263,63402.64301334101,64713.20403832651
2026-06-22,73121.18657260826,63402.64301334101,64655.327006046595
2026-06-23,70706.94973984797,63402.64301334101,63906.63498224227
2026-06-24,70407.872299399,63402.64301334101,63811.8303068051
2026-06-25,70998.42613456711,63402.64301334101,63999.54649563952
2026-06-26,70020.43965975313,63402.64301334101,63690.358035485086
2026-06-29,71750.28031893252,63402.64301334101,64242.203160509125
2026-06-30,72970.9229470318,63402.64301334101,64625.51091878983
2026-07-01,71854.183440256,63402.64301334101,64278.639686386785
2026-07-02,70609.39867260121,63402.64301334101,63888.09463711921
2026-07-06,71619.15540389277,63402.64301334101,64208.52704467516
2026-07-07,70286.74451415046,63402.64301334101,63789.57536274734
2026-07-08,70489.97239843011,63402.64301334101,63854.26308082438
2026-07-09,71658.38626823781,63402.64301334101,64225.474658618834
2026-07-10,71881.02576495944,63402.64301334101,64295.45962577925
2026-07-13,70510.30913792875,63402.64301334101,63865.45218280216
2026-07-14,71298.5152318576,63402.64301334101,64115.8412796015
2026-07-15,71108.8094029792,63402.64301334101,64056.01006944358
2026-07-16,69934.90702431744,63402.64301334101,63630.546824613
2026-07-17,68891.34652584852,63402.64301334101,63250.14502050171
2026-07-20,68969.54967347634,63402.64301334101,63278.91068219482
2026-07-21,70245.20538298739,63402.64301334101,63782.47863893433
2026-07-22,69887.83721235373,63402.64301334101,63642.47273334506
2026-07-23,68556.99904576421,63402.64301334101,63082.408204399166
2026-07-24,67789.7586780884,63402.64301334101,62756.968979824866
2026-07-27,67590.9145629757,63402.64301334101,62672.11101717176
2026-07-28,66933.31216847137,63402.64301334101,62391.03009303467
2026-07-29,65569.89345363919,63402.64301334101,61759.8415366013
2026-07-30,67715.18801881545,63402.64301334101,62761.0348663727
2026-07-31,68160.08027229548,63402.64301334101,62937.56095248145
2026-08-03,69356.33840064307,63402.64301334101,63415.85565769834
2026-08-04,71694.47598938161,63402.64301334101,64341.56067963175
2026-08-05,71048.65509335739,63402.64301334101,64108.87158133357
2026-08-06,70789.63424021871,63402.64301334101,64015.641052310435
