scheme,scheme_id,note,run,universe,months,eval_days,win_start,win_end,n_names,bench_ret,s12_mean_ret,dip_mean_ret,dip_minus_s12,s12_mean_mdd,dip_mean_mdd,s12_mean_exposure,dip_mean_exposure,dip_beat_s12,s12_vs_bench,dip_vs_bench,s12_positive,dip_positive
D01_baseline,1,baseline_dip10_w25,77,SOXX,8,168,2025-08-01,2026-04-01,30,0.4329721592393472,0.15866805757439584,0.21503629568416122,0.05636823810976538,-0.18501848805024199,-0.18205389030013147,0.3426587301587301,0.4579861111111112,1,-0.27430410166495134,-0.21793586355518596,1,1
D01_baseline,1,baseline_dip10_w25,78,QQQ,7,147,2025-11-12,2026-06-15,30,0.20096913413608264,-0.018947353643036353,0.019761208282094173,0.03870856192513053,-0.12973603679726417,-0.13583152723389286,0.2376417233560091,0.3331632653061225,1,-0.21991648777911899,-0.18120792585398846,0,1
D01_baseline,1,baseline_dip10_w25,79,SOXX,9,189,2023-12-14,2024-09-16,30,0.16790498618580796,0.0008636282377531334,0.006822135111537975,0.005958506873784842,-0.1882736533618384,-0.19457578343040777,0.3310405643738977,0.4367283950617284,1,-0.16704135794805483,-0.16108285107426998,1,1
D01_baseline,1,baseline_dip10_w25,80,QQQ,6,126,2024-01-19,2024-07-19,30,0.13164162035706783,0.01752199700392435,0.029969165632052805,0.012447168628128454,-0.11178035471042873,-0.11973197612687868,0.32089947089947096,0.4180555555555555,1,-0.11411962335314349,-0.10167245472501503,1,1
D01_baseline,1,baseline_dip10_w25,81,QQQ,1,21,2024-11-13,2024-12-12,30,0.027818437813410313,0.02434417817350658,0.02768404278404197,0.0033398646105353876,-0.025412970421883403,-0.03082860675279849,0.3349206349206349,0.41309523809523807,1,-0.003474259639903731,-0.00013439502936834352,1,1
D01_baseline,1,baseline_dip10_w25,82,SOXX,10,210,2024-06-21,2025-04-23,30,-0.303438756357962,-0.10953684636102978,-0.14571406366389786,-0.036177217302868075,-0.21927545671237217,-0.2546655036113155,0.1858730158730159,0.2782142857142857,0,0.19390190999693224,0.15772469269406417,0,0
D01_baseline,1,baseline_dip10_w25,83,QQQ,11,231,2024-05-24,2025-04-28,30,0.03788093693594541,0.02352067792770555,0.03851733079777038,0.014996652870064828,-0.18620256126856274,-0.1904343883126183,0.3011544011544011,0.3955266955266955,1,-0.014360259008239857,0.0006363938618249715,1,1
D01_baseline,1,baseline_dip10_w25,84,SOXX,4,84,2025-03-26,2025-07-25,29,0.21967623083558907,0.08166603233309737,0.07576333405137002,-0.005902698281727348,-0.0830621153910326,-0.09450373200294528,0.3091133004926108,0.35519293924466333,0,-0.1380101985024917,-0.14391289678421904,1,1
D01_baseline,1,baseline_dip10_w25,85,SOXX,3,63,2024-01-12,2024-04-12,29,0.17490145812316005,0.060582022508329274,0.07685961614750654,0.016277593639177267,-0.07771614238565261,-0.0862677105856509,0.3130815544608648,0.4534756431308155,1,-0.11431943561483077,-0.09804184197565351,1,1
D01_baseline,1,baseline_dip10_w25,86,QQQ,4,84,2025-08-13,2025-12-10,30,0.08270595883887877,-0.0020598467100503243,0.005289282206136281,0.007349128916186606,-0.07138796413813867,-0.0850292463159863,0.2472222222222222,0.355952380952381,1,-0.0847658055489291,-0.07741667663274249,0,1
D01_baseline,1,baseline_dip10_w25,87,QQQ,9,189,2025-08-12,2026-05-12,30,0.22380163982039725,-0.006650453236212702,0.029336001536933793,0.03598645477314649,-0.14081880209020553,-0.15129957006331363,0.2324514991181658,0.33183421516754846,1,-0.23045209305660994,-0.19446563828346344,0,1
