datetime,MU_buy_hold,S12_full,L1+L4
2025-06-12,65762.45366474114,57476.93687773578,59970.12607431071
2025-06-13,65455.45316710075,57208.615864133295,59690.166043588186
2025-06-16,67834.6838233226,59288.08344212842,61859.83512468557
2025-06-17,68118.54429817206,59536.17988144597,62118.69329550476
2025-06-18,68955.53433042785,60267.71619997377,62881.96161899544
2025-06-20,69959.45692357348,61145.15297887703,63797.45915786042
2025-06-23,69099.62840438033,60393.65563093304,63013.363951176434
2025-06-24,72361.1339165871,63244.238843767205,65987.59751241546
2025-06-25,71991.47973852043,62921.157987209685,65650.50230949667
2025-06-26,71319.45007995825,62333.79842088231,65037.664723552705
2025-06-27,70616.09037426597,61719.0561302051,64396.25662705751
2025-06-30,69762.45270311387,60972.969635449306,63617.80698128007
2025-07-01,68420.56073250364,59800.144781852694,62394.10825699195
2025-07-02,68903.90948212463,60222.59564893148,62834.8838643074
2025-07-03,69215.31708643399,60494.76851078035,63118.86282570898
2025-07-07,67931.93424039597,59373.08112350992,61948.519768394304
2025-07-08,70458.02460878494,61580.905323494015,64252.11322370679
2025-07-09,69228.19089414371,60506.02032685277,63130.60271417701
2025-07-10,69731.77921468516,60946.16074891923,63589.83520003256
2025-07-11,70546.9974366414,61658.66832237192,64333.24936456523
2025-07-14,67158.71747131318,58697.28317266177,61243.407587497575
2025-07-15,68017.08939646151,59447.50744517585,62026.1744962906
2025-07-16,65919.78314426985,57614.44416434007,60113.598043447426
2025-07-17,64116.68553535314,56038.52170894564,58469.31646778902
2025-07-18,64755.651998440546,56596.983764712204,59052.00304977026
2025-07-21,64097.54986871871,56021.796975576224,58451.86626213772
2025-07-22,61820.800538573014,54031.89893736826,56375.65199761974
2025-07-23,62165.626073013314,54333.279350847,56690.105452769836
2025-07-24,63236.863461249384,55269.54982607301,57666.98872959435
2025-07-25,62971.86399825431,55247.44200614257,57643.92193410252
2025-07-28,62967.306452610916,55247.44200614257,57643.92193410252
2025-07-29,63369.524610359076,55247.44200614257,57643.92193410252
2025-07-30,64936.12313365202,55247.44200614257,57643.92193410252
2025-07-31,61727.621711915024,55247.44200614257,57643.92193410252
2025-08-01,59306.300520219454,55247.44200614257,57643.92193410252
2025-08-04,60929.862739116215,55247.44200614257,57643.92193410252
2025-08-05,61661.08907053899,55247.44200614257,57643.92193410252
2025-08-06,61508.13112140463,55247.44200614257,57643.92193410252
2025-08-07,63315.60558448919,55247.44200614257,57643.92193410252
2025-08-08,67278.57693869321,55247.44200614257,57643.92193410252
2025-08-11,70046.23523890116,55247.44200614257,57643.92193410252
2025-08-12,72314.32050014313,55247.44200614257,57643.92193410252
2025-08-13,70341.92483649442,55247.44200614257,57643.92193410252
2025-08-14,70929.56488364683,55247.44200614257,57643.92193410252
2025-08-15,68404.89309401321,55247.44200614257,57643.92193410252
2025-08-18,69916.68108315465,55247.44200614257,57643.92193410252
2025-08-19,69065.33943461819,54552.62161827954,57462.68199456039
2025-08-20,66302.69222795765,52370.49019080106,56888.04817968652
2025-08-21,65498.20605961659,51735.05091115782,56537.23275657733
2025-08-22,66567.0417804205,52579.29190275268,56998.535573563124
2025-08-25,65854.29993235612,52016.31868540133,56693.39026069439
2025-08-26,65900.22092656836,52052.590289104475,56713.15675163506
2025-08-27,66605.77798046377,52609.88845496235,57016.754882507645
2025-08-28,68993.03129669385,54495.50760826524,59048.91954170989
2025-08-29,67312.0733370169,53167.76978374761,57610.241613686776
2025-09-02,67052.59378216192,52962.814735534404,57388.161396752104
