datetime,SMH_buy_hold,S12_full,L1+L4
2025-07-11,58835.13870710444,57301.582674187855,55378.95846806524
2025-07-14,58390.21845992769,56868.25941045023,54960.17438033388
2025-07-15,59515.56283608046,57964.271338425235,56019.412122246606
2025-07-16,59205.74914325396,57662.533035037,55727.79796096641
2025-07-17,59702.18383277488,58146.028001294006,56195.070353914234
2025-07-18,59417.8416081272,57869.097244412085,55927.43137837154
2025-07-21,59458.81453126599,57909.002195674766,55965.99740980582
2025-07-22,58404.4318603744,56882.102334231444,54973.55283630979
2025-07-23,58658.276925236416,57129.33084920167,55212.48616107511
2025-07-24,58901.5732285209,57366.28555931773,55441.49039512814
2025-07-25,58839.539908341176,57305.86915675722,55383.10112746668
2025-07-28,59639.201377500314,58084.687203137575,56135.787706647425
2025-07-29,59945.124645124546,58382.6364864561,56423.73997980372
2025-07-30,60630.85403559094,59050.492128907164,57069.187246003254
2025-07-31,59093.623122577286,57553.329613664675,55622.25861188532
2025-08-01,58109.669460831734,56595.023007526346,54696.10580310936
2025-08-04,59380.146203183634,57832.3843818222,55891.95033233885
2025-08-05,58749.264007756676,57217.946325359095,55298.128346591206
2025-08-06,58653.959911828904,57125.12636007983,55208.42274401762
2025-08-07,59582.25775361188,58029.22783236502,56082.18914885292
2025-08-08,60074.59386479459,58508.73105099205,56545.60372817853
2025-08-11,60048.74134672383,58483.55238677674,56521.269876742175
2025-08-12,61413.699320935266,59812.9323104893,57806.04548236817
2025-08-13,61655.84441033129,60048.765813461876,58033.96612883192
2025-08-14,61795.64496058302,60184.92241926214,58165.55430957445
2025-08-15,60505.835890422124,58928.73262024298,56951.513100565666
2025-08-18,60754.44762727972,59170.864215516995,57185.52052117616
2025-08-19,59528.555714224596,57976.925553194036,56031.64175363584
2025-08-20,59137.020851841946,57595.59616773382,55663.10700791813
2025-08-21,58829.76734351223,57296.35131684398,55373.902637012085
2025-08-22,60093.806345517085,58527.44275248011,56563.68760110513
2025-08-25,60151.09831114032,58583.24138535271,56617.61403783194
2025-08-26,60729.05068136858,59146.129248832476,57161.61548000966
2025-08-27,60916.404044418035,59328.59918870142,57337.9630562909
2025-08-28,61165.842898442614,59571.53634207839,57572.74900633541
2025-08-29,59395.78942856586,57847.61986171105,55906.67462037119
2025-09-02,58633.87154590263,57105.5616036059,55189.51443842387
2025-09-03,58624.21664630217,57096.15836194073,55180.42670113395
2025-09-04,59330.183004043225,57783.72348887413,55844.92214491662
2025-09-05,60036.68398051135,58471.809299532615,56509.92080206692
2025-09-08,60698.15051977624,59116.03450948049,57132.5305011504
2025-09-09,60961.93381214379,59372.94220899173,57380.818247446274
2025-09-10,61579.673324639014,59974.58015060646,57962.26959707019
2025-09-11,62213.530169720565,60591.915321563625,58558.891491227994
2025-09-12,62293.93009217258,60670.21959524467,58634.56844320173
2025-09-15,62878.4493956958,61239.50322287807,59184.75105422166
2025-09-16,62887.653606014035,61248.46752261615,59193.414577281976
2025-09-17,62485.83794436616,60857.125310093776,58815.20296212811
2025-09-18,64866.436455462775,63175.67278691274,61055.95685465252
2025-09-19,64608.32647728873,62924.290524911085,60813.0091523848
2025-09-22,65928.19451337199,64209.75579363681,62055.343559336
2025-09-23,65832.93114873649,64116.97549797613,61965.67629535723
2025-09-24,65712.13238210717,63999.32538844875,61851.97366752012
2025-09-25,65716.77774995321,64003.849673349425,61856.346150336816
2025-09-26,65872.27693101011,64155.29572030206,62002.71076982787
2025-09-29,66047.75977117028,64326.204546121226,62167.88513893178
2025-09-30,66804.93199152533,65063.64083906964,62880.57843524507
2025-10-01,68317.72034984488,66536.99790234328,64304.50035516117
2025-10-02,69254.37093130597,67449.23439757121,65186.12883075715
2025-10-03,68936.88597048914,67140.02478015835,64887.29403839204
2025-10-06,70319.57071233362,68486.66941783935,66188.75507979837
2025-10-07,69039.17388606061,67239.64652966877,64983.57320680563
2025-10-08,70888.59417829971,69040.86111169987,66724.35213253864
2025-10-09,70712.41213555985,68869.27130823185,66558.51963444118
2025-10-10,66651.55063581864,64914.25741569642,62736.20723269311
2025-10-13,69586.95944008452,67773.15388431084,65499.17993625884
2025-10-14,68308.66082258397,66528.17451445405,64884.47664012881
2025-10-15,70006.24498926436,68181.51062635961,65690.72037907217
2025-10-16,70325.03379327545,68491.9901018918,65840.28893675927
2025-10-17,70230.76582084957,68400.17925323588,65796.16076356673
2025-10-20,71127.7981004546,69273.8301098624,66216.35609668869
2025-10-21,70734.3173439345,68890.60555059547,65836.80228884719
2025-10-22,69355.62311747773,67547.8474142881,65182.01695134257
2025-10-23,70632.87021242402,68791.80266985028,65782.21011558553
2025-10-24,71929.74686585325,70054.87583340048,66386.11742002687
2025-10-27,73723.89927918043,71802.26311082605,67214.05591536658
2025-10-28,74373.84308292833,72435.26592891134,67510.33269666872
2025-10-29,75501.93559888066,73533.95436557461,68022.3265503388
2025-10-30,74499.9423905294,72558.07841917558,67570.96123977381
2025-10-31,74361.30128130135,72423.05103321117,67508.08794942427
2025-11-03,74996.35148713063,73041.54845960022,67796.34961516116
2025-11-04,72239.3703897715,70356.4289246917,66550.2006315601
2025-11-05,73618.34657368677,71699.4616691495,67185.38848833786
2025-11-06,71896.5842603353,70022.57762142146,66399.73331343311
2025-11-07,71292.63313317484,69994.56859037289,66386.45336677041
2025-11-10,73471.07958848125,72105.35303447336,66886.94753327369
2025-11-11,71877.55135150174,70541.4463008118,66524.26659753462
