,cash
2026-02-03,11163.511896099979
2026-02-04,64178.65888549997
2026-02-05,64178.65888549997
2026-02-06,64178.65888549997
2026-02-09,64178.65888549997
2026-02-10,64178.65888549997
2026-02-11,64178.65888549997
2026-02-12,64178.65888549997
2026-02-13,64178.65888549997
2026-02-17,64178.65888549997
2026-02-18,64178.65888549997
2026-02-19,64178.65888549997
2026-02-20,64178.65888549997
2026-02-23,64178.65888549997
2026-02-24,64178.65888549997
2026-02-25,64178.65888549997
2026-02-26,64178.65888549997
2026-02-27,64178.65888549997
2026-03-02,64178.65888549997
2026-03-03,64178.65888549997
2026-03-04,64178.65888549997
2026-03-05,64178.65888549997
2026-03-06,64178.65888549997
2026-03-09,64178.65888549997
2026-03-10,64178.65888549997
2026-03-11,64178.65888549997
2026-03-12,64178.65888549997
2026-03-13,64178.65888549997
2026-03-16,64178.65888549997
2026-03-17,64178.65888549997
2026-03-18,64178.65888549997
2026-03-19,64178.65888549997
2026-03-20,64178.65888549997
2026-03-23,64178.65888549997
2026-03-24,64178.65888549997
2026-03-25,64178.65888549997
2026-03-26,64178.65888549997
2026-03-27,64178.65888549997
2026-03-30,64178.65888549997
2026-03-31,64178.65888549997
2026-04-01,64178.65888549997
2026-04-02,64178.65888549997
2026-04-06,64178.65888549997
2026-04-07,64178.65888549997
2026-04-08,64178.65888549997
2026-04-09,47278.976165499975
2026-04-10,14091.857303899977
2026-04-13,21134.741203899976
2026-04-14,21134.741203899976
2026-04-15,21134.741203899976
2026-04-16,30062.919306299977
2026-04-17,22129.233979199973
2026-04-20,22129.233979199973
2026-04-21,22129.233979199973
2026-04-22,22129.233979199973
2026-04-23,22129.233979199973
2026-04-24,22484.73818459997
2026-04-27,22484.73818459997
2026-04-28,22484.73818459997
2026-04-29,22484.73818459997
2026-04-30,22484.73818459997
2026-05-01,38697.41369829997
2026-05-04,13026.12659949997
2026-05-05,21353.55695149997
2026-05-06,12852.87316089997
2026-05-07,21280.79734489997
2026-05-08,29923.53906339997
2026-05-11,23008.761974899964
2026-05-12,16205.664770899959
2026-05-13,16205.664770899959
2026-05-14,31059.71145589996
2026-05-15,14110.04785589996
2026-05-18,22490.88223589996
2026-05-19,13714.364875899959
2026-05-20,13714.364875899959
2026-05-21,21980.288725899958
2026-05-22,21980.288725899958
2026-05-26,12850.51644489996
2026-05-27,12850.51644489996
2026-05-28,30525.28177739996
2026-05-29,13765.665030399963
2026-06-01,13765.665030399963
2026-06-02,13765.665030399963
2026-06-03,13765.665030399963
