,above_sma50,above_sma200,ret20,dd60,overlap,strong_share,breadth,raw_label,label,method
2025-11-07,1.0,1.0,0.03433393828165143,-0.040942032989150445,0.6,0.21649484536082475,0.5670103092783505,Rotation,Range,hierarchy
2025-11-10,1.0,1.0,0.03524755644393629,-0.019724348480854248,0.7,0.1958762886597938,0.5360824742268041,Rotation,Range,hierarchy
2025-11-11,1.0,1.0,0.03941448056296326,-0.02233531865991245,0.6,0.20618556701030927,0.5463917525773195,Rotation,Rotation,hierarchy
2025-11-12,1.0,1.0,0.03131728583522775,-0.023105665363286287,0.6,0.18556701030927836,0.5463917525773195,Rotation,Rotation,hierarchy
2025-11-13,1.0,1.0,0.014017362795443411,-0.0430494363682572,0.4,0.20618556701030927,0.4845360824742268,Range,Rotation,hierarchy
2025-11-14,1.0,1.0,0.008162776939490524,-0.0423264470441892,0.4,0.1958762886597938,0.422680412371134,Rotation,Rotation,hierarchy
2025-11-17,0.0,1.0,-0.012884474626561948,-0.050505066450296066,0.5,0.2268041237113402,0.3402061855670103,Defense,Defense,hierarchy
2025-11-18,0.0,1.0,-0.024649569338404564,-0.06206658131814524,0.5,0.24742268041237114,0.29896907216494845,Defense,Defense,hierarchy
2025-11-19,0.0,1.0,-0.00928212693308561,-0.05646736050489276,0.5,0.2268041237113402,0.35051546391752575,Defense,Defense,hierarchy
2025-11-20,0.0,1.0,-0.04079673626109903,-0.07880110058549505,0.4,0.2268041237113402,0.2268041237113402,Defense,Defense,hierarchy
2025-11-21,0.0,1.0,-0.04380055881004041,-0.07188060888961145,0.5,0.21649484536082475,0.27835051546391754,Defense,Defense,hierarchy
2025-11-24,0.0,1.0,-0.03650837529101392,-0.04814666896086861,0.4,0.24742268041237114,0.27835051546391754,Defense,Defense,hierarchy
2025-11-25,1.0,1.0,-0.03796613287115802,-0.042279089664883474,0.3,0.2268041237113402,0.36082474226804123,Defense,Defense,hierarchy
2025-11-26,1.0,1.0,-0.03381632598294193,-0.03381632598294193,0.3,0.24742268041237114,0.44329896907216493,Defense,Defense,hierarchy
2025-11-28,1.0,1.0,-0.010860922481067625,-0.02598341544576721,0.3,0.23711340206185566,0.4639175257731959,Range,Defense,hierarchy
2025-12-01,1.0,1.0,-0.01891656894887561,-0.029255810355796052,0.2,0.23711340206185566,0.4639175257731959,Range,Defense,hierarchy
2025-12-02,1.0,1.0,-0.015947793364612828,-0.021658108135839904,0.3,0.23711340206185566,0.5670103092783505,Range,Defense,hierarchy
2025-12-03,1.0,1.0,0.00689441688370418,-0.019268139060208633,0.4,0.25773195876288657,0.6288659793814433,Range,Defense,hierarchy
2025-12-04,1.0,1.0,-0.000545862075628345,-0.02018055790149975,0.3,0.25773195876288657,0.5670103092783505,Range,Range,hierarchy
2025-12-05,1.0,1.0,0.022577067212716573,-0.016185173667402908,0.2,0.24742268041237114,0.7010309278350515,Range,Range,hierarchy
2025-12-08,1.0,1.0,0.023846793241653064,-0.01807157594308273,0.2,0.26804123711340205,0.6391752577319587,Range,Range,hierarchy
2025-12-09,1.0,1.0,0.0029211608635297814,-0.016860805612165186,0.2,0.25773195876288657,0.5876288659793815,Range,Range,hierarchy
2025-12-10,1.0,1.0,0.009718535454328325,-0.012833849791864305,0.3,0.27835051546391754,0.6082474226804123,Range,Range,hierarchy
2025-12-11,1.0,1.0,0.007245767915661894,-0.016027315736383607,0.4,0.28865979381443296,0.6288659793814433,Range,Range,hierarchy
2025-12-12,1.0,1.0,0.008579535144586758,-0.034839245375946626,0.3,0.29896907216494845,0.6391752577319587,Range,Range,hierarchy
2025-12-15,0.0,1.0,0.0027593345948688786,-0.03968390527892707,0.3,0.32989690721649484,0.6391752577319587,Defense,Defense,hierarchy
2025-12-16,0.0,1.0,0.013401785907259933,-0.03778013863083496,0.3,0.30927835051546393,0.6804123711340206,Defense,Defense,hierarchy
2025-12-17,0.0,1.0,0.006876900783118423,-0.055616506256699005,0.3,0.26804123711340205,0.6701030927835051,Defense,Defense,hierarchy
2025-12-18,0.0,1.0,0.015403791136169742,-0.041933380795951214,0.3,0.26804123711340205,0.6597938144329897,Defense,Defense,hierarchy
2025-12-19,1.0,1.0,0.05357956823782217,-0.02944366129370901,0.4,0.25773195876288657,0.7835051546391752,Rotation,Defense,hierarchy
2025-12-22,1.0,1.0,0.050647508444653155,-0.024873674190701744,0.4,0.25773195876288657,0.7216494845360825,Rotation,Defense,hierarchy
2025-12-23,1.0,1.0,0.02924801942349764,-0.020306844246315237,0.3,0.23711340206185566,0.6804123711340206,Range,Defense,hierarchy
2025-12-24,1.0,1.0,0.025935473662349384,-0.01744014421900575,0.3,0.23711340206185566,0.6288659793814433,Range,Defense,hierarchy
2025-12-26,1.0,1.0,0.016883993209805048,-0.01750328739141338,0.3,0.23711340206185566,0.6288659793814433,Range,Defense,hierarchy
2025-12-29,1.0,1.0,0.003823208610403972,-0.022259546853023227,0.3,0.2268041237113402,0.5773195876288659,Range,Defense,hierarchy
2025-12-30,1.0,1.0,0.004870330499489484,-0.024527965321769707,0.4,0.2268041237113402,0.5773195876288659,Range,Range,hierarchy
2025-12-31,0.0,1.0,-0.011173662105230853,-0.03258976985892237,0.4,0.23711340206185566,0.4742268041237113,Defense,Defense,hierarchy
2026-01-02,0.0,1.0,-0.01549394390567782,-0.03446354350012071,0.5,0.23711340206185566,0.35051546391752575,Defense,Defense,hierarchy
2026-01-05,1.0,1.0,-0.006750475674926815,-0.02679480521120614,0.5,0.23711340206185566,0.4329896907216495,Range,Defense,hierarchy
2026-01-06,1.0,1.0,-0.0020923321801972206,-0.01824364108789378,0.4,0.28865979381443296,0.5463917525773195,Range,Defense,hierarchy
2026-01-07,1.0,1.0,0.0007861319254767185,-0.017299650660398624,0.4,0.30927835051546393,0.5670103092783505,Range,Defense,hierarchy
2026-01-08,1.0,1.0,-0.006131984585741712,-0.02288939999778994,0.3,0.28865979381443296,0.5773195876288659,Range,Defense,hierarchy
2026-01-09,1.0,1.0,-0.00032781589859143256,-0.013157458550453804,0.3,0.25773195876288657,0.6082474226804123,Range,Range,hierarchy
2026-01-12,1.0,1.0,0.003749229939935317,-0.012338175888463976,0.4,0.25773195876288657,0.5567010309278351,Range,Range,hierarchy
2026-01-13,1.0,1.0,0.021795486178691537,-0.013803097488322535,0.4,0.24742268041237114,0.5876288659793815,Range,Range,hierarchy
