symbol,strategy,n_bars,total_return,sharpe,max_drawdown,avg_exposure,n_trades,vs_qqq,beat_qqq,final_equity
BKNG,regime_rs5_entry,129,0.20677069759533606,1.683992514897764,-0.06403165332068073,0.26356589147286824,1,0.06271751753164678,True,120677.06975953361
BKR,buy_hold,129,0.11734061981345567,0.7946935544975409,-0.2413487181176035,0.9922480620155039,1,-0.026712560250233608,False,111734.06198134557
BKR,sma,129,0.11970577356294432,1.2089203822760128,-0.0908037748246655,0.3643410852713178,3,-0.02434740650074496,False,111970.57735629444
BKR,regime,129,0.059016884870102926,0.6222192451150367,-0.10035253673762057,0.3798449612403101,3,-0.08503629519358635,False,105901.6884870103
BKR,sma_rs5_entry,129,0.08088861392600144,0.8840488930781167,-0.09080377482466562,0.32558139534883723,3,-0.06316456613768784,False,108088.86139260014
BKR,regime_rs5_entry,129,0.022303644259211275,0.308992484878231,-0.10035253673762057,0.34108527131782945,3,-0.121749535804478,False,102230.36442592113
CCEP,buy_hold,129,0.18681820990974685,1.4454193511140052,-0.18163103053180008,0.9922480620155039,1,0.04276502984605757,True,118681.82099097468
CCEP,sma,129,0.05815154554559365,0.7578399533368279,-0.06612736403165265,0.4263565891472868,5,-0.08590163451809563,False,105815.15455455937
CCEP,regime,129,0.07215891398125329,0.9923626269709876,-0.04963629791508828,0.3178294573643411,3,-0.07189426608243599,False,107215.89139812533
CCEP,sma_rs5_entry,129,0.11753924865297227,1.6379398087957084,-0.04963629791508806,0.31007751937984496,1,-0.026513931410717007,False,111753.92486529723
CCEP,regime_rs5_entry,129,0.1081756362433326,1.521890125409011,-0.04963629791508817,0.29457364341085274,1,-0.03587754382035668,False,110817.56362433326
CDNS,buy_hold,129,0.168065297341788,0.892012872052269,-0.2157081023004923,0.9922480620155039,1,0.02401211727809871,True,116806.5297341788
CDNS,sma,129,0.17756778205354173,1.2676475957323852,-0.11719371607002549,0.4108527131782946,4,0.033514601989852455,True,117756.77820535417
CDNS,regime,129,0.13980850361255182,1.0833622967755467,-0.14314092121897481,0.3333333333333333,4,-0.0042446764511374635,False,113980.85036125519
CDNS,sma_rs5_entry,129,0.11084509746678517,0.9313401694443906,-0.11719371607002482,0.34108527131782945,2,-0.03320808259690411,False,111084.50974667852
CDNS,regime_rs5_entry,129,0.08000941775422876,0.7402207283673006,-0.1431409212189746,0.29457364341085274,4,-0.06404376230946052,False,108000.94177542288
CDW,buy_hold,129,0.17829814482738282,0.8844255288880833,-0.3116387292799484,0.9922480620155039,1,0.03424496476369354,True,117829.81448273828
CDW,sma,129,-0.14765025396340048,-0.5347631531432546,-0.34725301876155734,0.5038759689922481,5,-0.29170343402708976,False,85234.97460365995
CDW,regime,129,-0.11382266839781285,-0.44344318539216215,-0.2702497433832144,0.31007751937984496,5,-0.25787584846150213,False,88617.73316021872
CDW,sma_rs5_entry,129,-0.1608278996873045,-0.6100325864982082,-0.3573447311203696,0.49612403100775193,5,-0.30488107975099377,False,83917.21003126955
CDW,regime_rs5_entry,129,-0.17654976126640132,-0.8616520952050213,-0.3219043168926914,0.27906976744186046,5,-0.3206029413300906,False,82345.02387335987
CEG,buy_hold,129,-0.030151413102835534,0.11439649783657944,-0.287297026439,0.9922480620155039,1,-0.1742045931665248,False,96984.85868971645
CEG,sma,129,-0.2450630781114489,-2.050792763067303,-0.28367682270911976,0.24806201550387597,5,-0.3891162581751382,False,75493.69218885512
CEG,regime,129,-0.2509923299319411,-2.9043210144286324,-0.26259943402396724,0.17054263565891473,5,-0.3950455099956304,False,74900.7670068059
CEG,sma_rs5_entry,129,-0.10036770304147391,-0.9893502954540669,-0.14638237094203388,0.11627906976744186,3,-0.2444208831051632,False,89963.22969585261
CEG,regime_rs5_entry,129,-0.04552796867440323,-0.9037150696809764,-0.060319080519115276,0.06976744186046512,1,-0.1895811487380925,False,95447.20313255968
CHTR,buy_hold,129,-0.23922758506793185,-0.55549944873154,-0.49975713913665687,0.9922480620155039,1,-0.3832807651316211,False,76077.24149320682
CHTR,sma,129,-0.26341993756346116,-1.1860024698240628,-0.39273439880262084,0.13178294573643412,5,-0.40747311762715044,False,73658.00624365389
CHTR,regime,129,-0.1776693304156588,-0.7682428253082468,-0.271585017176049,0.06201550387596899,3,-0.3217225104793481,False,82233.06695843412
CHTR,sma_rs5_entry,129,-0.27749240804529884,-1.3409957597720925,-0.36199805922625017,0.10077519379844961,3,-0.4215455881089881,False,72250.75919547012
CHTR,regime_rs5_entry,129,0.09214364758626559,1.872725478952677,0.0,0.023255813953488372,1,-0.05190953247742369,False,109214.36475862656
CMCSA,buy_hold,129,-0.11313513540359199,-0.46876027323852854,-0.30676261146764805,0.9922480620155039,1,-0.25718831546728127,False,88686.4864596408
CMCSA,sma,129,-0.0137007160812469,0.04446853416833385,-0.20164893914137372,0.20155038759689922,3,-0.15775389614493618,False,98629.9283918753
CMCSA,regime,129,-0.07796585939414591,-1.6446687229065629,-0.07796585939414591,0.015503875968992248,2,-0.2220190394578352,False,92203.4140605854
CMCSA,sma_rs5_entry,129,0.04713841137480035,0.6592911684631677,-0.0884507116707478,0.11627906976744186,1,-0.09691476868888893,False,104713.84113748003
CMCSA,regime_rs5_entry,129,-0.07796585939414591,-1.6446687229065629,-0.07796585939414591,0.015503875968992248,2,-0.2220190394578352,False,92203.4140605854
COST,buy_hold,129,-0.015243700712692543,-0.04173816627376889,-0.16569174684068388,0.9922480620155039,1,-0.15929688077638182,False,98475.62992873075
