scheme,scheme_id,note,run,n_names,mean_ret,median_ret,mean_sharpe,mean_mdd,mean_vs_qqq,pct_positive,pct_beat_qqq,mean_trades,mean_exposure,basket_eq_ret
S01_baseline,1,baseline,82,30,0.16203264874659287,0.07046132188439969,0.6641298691092844,-0.08860402070436373,0.017979468682903618,0.6666666666666666,0.3,2.533333333333333,0.224031007751938,0.16203264874659287
S01_baseline,1,baseline,83,30,0.10134995650847621,0.06875035302982768,0.5477045658969638,-0.09819608351418888,-0.042703223555213075,0.6,0.36666666666666664,2.8666666666666667,0.1757105943152455,0.10134995650847621
S01_baseline,1,baseline,84,30,0.03352545786422548,0.0017700825571889123,0.223140691372764,-0.12883686569485742,-0.11052772219946379,0.5,0.2,2.466666666666667,0.1770025839793282,0.03352545786422548
S01_baseline,1,baseline,85,30,0.15225388033777004,0.01729127301801625,0.6169741484538036,-0.1067425706461405,0.008200700274080763,0.5666666666666667,0.3,2.1,0.1919896640826873,0.15225388033777004
S01_baseline,1,baseline,86,30,0.11098106382997948,0.03159226650280833,0.5548795395584117,-0.1071637184822516,-0.03307211623370978,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.24961459291376514,0.11098106382997948
S01_baseline,1,baseline,87,30,0.027622166379886695,0.010486431215057657,0.2495470365123688,-0.09348218803256839,-0.11643101368380257,0.5666666666666667,0.1,2.3333333333333335,0.17881136950904394,0.027622166379886695
S01_baseline,1,baseline,88,30,0.12158478595143833,0.08239558826706939,0.8076802519178679,-0.11239929588391143,-0.022468394112250923,0.6666666666666666,0.36666666666666664,2.3666666666666667,0.19638242894056848,0.12158478595143833
S01_baseline,1,baseline,89,30,0.09523238159974087,0.03959106265496026,0.7420475037367742,-0.09588783487530078,-0.04882079846394839,0.6666666666666666,0.23333333333333334,2.466666666666667,0.20439276485788113,0.09523238159974087
S01_baseline,1,baseline,90,30,0.05306988932784067,0.01682408545243086,0.536697592612981,-0.09580636227755769,-0.09098329073584863,0.6333333333333333,0.2,2.466666666666667,0.22196601410239566,0.05306988932784067
S01_baseline,1,baseline,91,30,0.049541016728321764,0.006139450888410614,0.3462286281897184,-0.08024238151222937,-0.09451216333536751,0.5,0.16666666666666666,2.1,0.18139534883720934,0.049541016728321764
S01_baseline,1,baseline,92,30,0.14587406692015528,0.014659678752935834,0.647776675716137,-0.08286044912379371,0.0018208868564660086,0.6,0.3,2.066666666666667,0.2511649805106644,0.14587406692015528
S01_baseline,1,baseline,93,30,0.09857061760096636,0.014876115737289863,0.4517014387168352,-0.10895022487116762,-0.04548256246272291,0.5333333333333333,0.26666666666666666,2.566666666666667,0.22067183462532297,0.09857061760096636
S01_baseline,1,baseline,94,30,0.22691014001181684,0.12994537312933085,0.9720030111497742,-0.10423348714220393,0.08285695994812753,0.6666666666666666,0.5,2.466666666666667,0.22739018087855303,0.22691014001181684
S01_baseline,1,baseline,95,30,0.08151773222675682,0.04509865754062292,0.4636669347374799,-0.1181218796807863,-0.06253544783693248,0.6,0.23333333333333334,2.3666666666666667,0.21653746770025842,0.08151773222675682
S01_baseline,1,baseline,96,30,0.10493099200232718,0.009522256311692012,0.43624431233575794,-0.08096924794653755,-0.03912218806136211,0.5333333333333333,0.3,3.033333333333333,0.17416239653133625,0.10493099200232718
S01_baseline,1,baseline,97,30,0.10746804164682623,0.07378297274492174,0.7878225992941942,-0.10460338092195112,-0.03658513841686304,0.7,0.3333333333333333,2.8333333333333335,0.24883720930232556,0.10746804164682623
S01_baseline,1,baseline,98,30,0.07782889584083037,0.0,0.3944342392025231,-0.09517529449616921,-0.0662242842228589,0.43333333333333335,0.23333333333333334,2.8666666666666667,0.15994832041343673,0.07782889584083037
S01_baseline,1,baseline,99,30,0.1833159898317388,0.0477110825414262,0.9119056764568839,-0.0723057342880317,0.03926280976804954,0.7333333333333333,0.3,1.7666666666666666,0.20155038759689922,0.1833159898317388
S02_faster_ma,2,faster_ma,0,30,0.07384347834146268,-0.0021049488234755054,-0.03798189050105385,-0.12197339532508732,-0.0702097017222266,0.4666666666666667,0.16666666666666666,4.633333333333334,0.23835895414531602,0.07384347834146268
S02_faster_ma,2,faster_ma,1,30,-0.040949061873748666,-0.055689167326800126,-0.4525663597106969,-0.15210428283268188,-0.18500224193743794,0.3,0.06666666666666667,4.733333333333333,0.20413436692506465,-0.040949061873748666
S02_faster_ma,2,faster_ma,2,30,0.016071112664721908,-0.005227765837637011,-0.05251156681122491,-0.11745346489436749,-0.12798206739896736,0.4,0.13333333333333333,4.433333333333334,0.18552971576227392,0.016071112664721908
S02_faster_ma,2,faster_ma,3,30,0.018524597937377922,-0.0021049488234755054,-0.06365984491951128,-0.11656987266588863,-0.12552858212631135,0.43333333333333335,0.16666666666666666,4.666666666666667,0.19443130556650465,0.018524597937377922
S02_faster_ma,2,faster_ma,4,30,-0.024582146135363286,-0.06184290415081034,-0.4337897707100139,-0.13662974996957686,-0.16863532619905258,0.3333333333333333,0.1,4.666666666666667,0.1868217054263566,-0.024582146135363286
S02_faster_ma,2,faster_ma,5,30,0.036468305246762256,-0.002261053292557935,0.08174504661679924,-0.11292036766743543,-0.10758487481692702,0.4666666666666667,0.16666666666666666,4.933333333333334,0.21071037533394646,0.036468305246762256
S02_faster_ma,2,faster_ma,6,30,0.0456142775618954,-0.059372043692010656,-0.3068372079065835,-0.1510928433584186,-0.09843890250179387,0.3333333333333333,0.16666666666666666,4.9,0.1984496124031008,0.0456142775618954
S02_faster_ma,2,faster_ma,7,30,-0.012158392313703758,-0.018468718007912777,-0.16223322136928983,-0.13639127404028073,-0.15621157237739305,0.36666666666666664,0.13333333333333333,4.2,0.18926334691017394,-0.012158392313703758
