datetime,QQQ_buy_hold,S12_full,L1+L4
2025-05-27,51282.2571489982,47285.801256306644,47111.53108991235
2025-05-28,51055.56047718206,47076.771186943304,47007.40124173489
2025-05-29,51164.80829529956,47177.505259552076,47098.5853974689
2025-05-30,51084.08072877695,47103.068838873434,47024.27349613526
2025-06-02,51489.67703973804,47477.05679526689,47397.635834921835
2025-06-03,51891.92905243093,47847.961076486055,47767.919656992955
2025-06-04,52036.49723638053,47981.26297843559,47900.998567759314
2025-06-05,51646.22805217577,47621.40769696563,47541.74526235882
2025-06-06,52151.15745132688,48086.98765666504,48006.54638676362
2025-06-09,52227.90901870267,48157.75793010479,48077.19827369292
2025-06-10,52573.06880175287,48476.0192120831,48394.92715921783
2025-06-11,52396.75093001527,48313.44189383645,48232.621804896844
2025-06-12,52520.403582882616,48427.45822411054,48346.447405436265
2025-06-13,51860.223473762875,47818.72633185971,47738.733817072396
2025-06-16,52579.10276160744,48481.58294196424,48400.481581934626
2025-06-17,52065.12958903429,48007.66399532437,47927.355420282045
2025-06-18,52056.48826206454,47999.69609195197,47919.400845843236
2025-06-20,51847.21314091344,47806.72990175701,47726.75745493648
2025-06-23,52379.810724387185,48297.82184820852,48217.02788892201
2025-06-24,53178.02782415935,49033.83342877425,48951.80824854653
2025-06-25,53314.35225085557,49159.53401423032,49077.29855851614
2025-06-26,53811.712915261065,49618.13507505049,49535.13245854066
2025-06-27,53995.78815079234,49787.86522125388,49704.57867536594
2025-06-30,54345.303143806945,50110.14230917085,50026.31664907602
2025-07-01,53886.26295645171,49686.87538851113,49603.75778126519
2025-07-02,54262.30359113448,50033.61095953409,49949.91332324054
2025-07-03,54794.9648567789,50524.761625367966,50440.24237838099
2025-07-07,54381.484455778496,50143.50399062158,50059.622522164595
2025-07-08,54412.2688385417,50171.88932867154,50087.96037642006
2025-07-09,54796.78256129976,50526.4376751266,50441.91562439629
2025-07-10,54718.1329558138,50453.91727878189,50369.51654221703
2025-07-11,54595.34333466512,50340.696723666624,50256.48538564128
2025-07-14,54793.42934653085,50523.34577831964,50438.82889980157
2025-07-15,54846.173403458175,50571.979460454,50487.381226140074
