,cash
2025-11-12,40610.99143409996
2025-11-13,40610.99143409996
2025-11-14,40610.99143409996
2025-11-17,38298.65530369996
2025-11-18,52675.180220799964
2025-11-19,52675.180220799964
2025-11-20,52675.180220799964
2025-11-21,52675.180220799964
2025-11-24,52675.180220799964
2025-11-25,52675.180220799964
2025-11-26,37945.09948419996
2025-11-28,40333.521133799964
2025-12-01,38013.83285899996
2025-12-02,38013.83285899996
2025-12-03,38013.83285899996
2025-12-04,38013.83285899996
2025-12-05,38013.83285899996
2025-12-08,38013.83285899996
2025-12-09,38013.83285899996
2025-12-10,38013.83285899996
2025-12-11,38013.83285899996
2025-12-12,38013.83285899996
2025-12-15,38013.83285899996
2025-12-16,54297.02647149996
2025-12-17,54297.02647149996
2025-12-18,54297.02647149996
2025-12-19,54297.02647149996
2025-12-22,49584.355701899956
2025-12-23,51906.81215329996
2025-12-24,51906.81215329996
2025-12-26,47139.27593529996
2025-12-29,42470.064194999955
2025-12-30,42470.064194999955
2025-12-31,42470.064194999955
2026-01-02,54261.90476089995
2026-01-05,54261.90476089995
2026-01-06,49358.758874899955
2026-01-07,46701.43255139996
2026-01-08,42186.435601399964
2026-01-09,42186.435601399964
2026-01-12,39761.61993939996
2026-01-13,39761.61993939996
2026-01-14,41889.61175039996
2026-01-15,39781.92000539997
2026-01-16,39781.92000539997
2026-01-20,39781.92000539997
2026-01-21,53544.82901839996
2026-01-22,53544.82901839996
2026-01-23,38695.54159619996
2026-01-26,38695.54159619996
2026-01-27,38695.54159619996
2026-01-28,38695.54159619996
2026-01-29,38695.54159619996
2026-01-30,38695.54159619996
2026-02-02,38695.54159619996
2026-02-03,38695.54159619996
2026-02-04,54130.00983699996
2026-02-05,54130.00983699996
2026-02-06,54130.00983699996
2026-02-09,54130.00983699996
2026-02-10,54130.00983699996
2026-02-11,54130.00983699996
2026-02-12,54130.00983699996
2026-02-13,54130.00983699996
2026-02-17,54130.00983699996
2026-02-18,54130.00983699996
2026-02-19,54130.00983699996
2026-02-20,54130.00983699996
2026-02-23,54130.00983699996
2026-02-24,54130.00983699996
2026-02-25,54130.00983699996
2026-02-26,54130.00983699996
2026-02-27,54130.00983699996
2026-03-02,54130.00983699996
2026-03-03,54130.00983699996
2026-03-04,54130.00983699996
2026-03-05,54130.00983699996
2026-03-06,54130.00983699996
2026-03-09,54130.00983699996
2026-03-10,54130.00983699996
2026-03-11,54130.00983699996
2026-03-12,54130.00983699996
2026-03-13,54130.00983699996
2026-03-16,54130.00983699996
2026-03-17,54130.00983699996
2026-03-18,54130.00983699996
2026-03-19,54130.00983699996
2026-03-20,54130.00983699996
2026-03-23,54130.00983699996
2026-03-24,54130.00983699996
2026-03-25,54130.00983699996
2026-03-26,54130.00983699996
2026-03-27,54130.00983699996
2026-03-30,54130.00983699996
2026-03-31,54130.00983699996
2026-04-01,54130.00983699996
2026-04-02,54130.00983699996
2026-04-06,54130.00983699996
2026-04-07,54130.00983699996
2026-04-08,54130.00983699996
2026-04-09,49171.36330579996
2026-04-10,40614.93236699996
2026-04-13,42374.160841999954
2026-04-14,42374.160841999954
2026-04-15,42374.160841999954
2026-04-16,44976.803205199954
2026-04-17,42857.79947549995
2026-04-20,42857.79947549995
2026-04-21,42857.79947549995
2026-04-22,42857.79947549995
2026-04-23,42857.79947549995
2026-04-24,41655.11610229996
2026-04-27,41655.11610229996
2026-04-28,41655.11610229996
2026-04-29,41655.11610229996
2026-04-30,41655.11610229996
2026-05-01,46577.52773229996
2026-05-04,39146.06000469995
2026-05-05,41538.77835589995
2026-05-06,39091.820557499945
2026-05-07,41563.827111499944
2026-05-08,44071.597932999946
2026-05-11,42389.69334949995
2026-05-12,40393.245054499945
2026-05-13,40393.245054499945
2026-05-14,44727.61170849994
2026-05-15,39735.95130849994
2026-05-18,41829.667403499945
2026-05-19,39434.40131549994
2026-05-20,39434.40131549994
2026-05-21,41794.67241549994
2026-05-22,41794.67241549994
2026-05-26,39070.20921149994
2026-05-27,39070.20921149994
2026-05-28,44210.54803549994
2026-05-29,39226.56089449994
2026-06-01,39226.56089449994
2026-06-02,39226.56089449994
2026-06-03,39226.56089449994
2026-06-04,39226.56089449994
2026-06-05,39226.56089449994
2026-06-08,39226.56089449994
2026-06-09,39226.56089449994
2026-06-10,39226.56089449994
2026-06-11,39226.56089449994
2026-06-12,39226.56089449994
2026-06-15,39226.56089449994
2026-06-16,39226.56089449994
2026-06-17,39226.56089449994
2026-06-18,39226.56089449994
2026-06-22,41667.99561649994
2026-06-23,44123.56309649994
2026-06-24,39233.431104499934
2026-06-25,39233.431104499934
2026-06-26,39233.431104499934
2026-06-29,41559.684416499935
2026-06-30,43914.489160499936
2026-07-01,38992.99479949994
2026-07-02,38992.99479949994
2026-07-06,48236.89356999994
2026-07-07,41995.493928999946
2026-07-08,55920.297359999946
2026-07-09,55920.297359999946
2026-07-10,46362.00396249995
2026-07-13,46362.00396249995
2026-07-14,55772.235814499945
2026-07-15,55772.235814499945
2026-07-16,41083.09725699995
2026-07-17,56120.55280299995
2026-07-20,56120.55280299995
2026-07-21,56120.55280299995
2026-07-22,56120.55280299995
2026-07-23,56120.55280299995
2026-07-24,56120.55280299995
2026-07-27,56120.55280299995
2026-07-28,56120.55280299995
2026-07-29,56120.55280299995
2026-07-30,56120.55280299995
2026-07-31,56120.55280299995
2026-08-03,56120.55280299995
2026-08-04,56120.55280299995
2026-08-05,41272.31452899995
2026-08-06,45584.37531739996
2026-08-07,45584.37531739996
