datetime,DIA_buy_hold,S12_full,L1+L4
2025-06-06,50909.81269812295,47387.99434884202,47921.20019984098
2025-06-09,50907.44403583701,47387.99434884202,47921.20019984098
2025-06-10,51056.02728995996,47387.99434884202,47921.20019984098
2025-06-11,51054.85227586525,47367.948553885355,47916.13236268896
2025-06-12,51161.52195387235,47466.91512796922,47941.16033839858
2025-06-13,50244.75693413591,46616.353891277424,47506.83659614051
2025-06-16,50656.34374577471,46998.21814217802,47701.41597714223
2025-06-17,50278.947568757714,46648.07546424445,47523.725181706825
2025-06-18,50246.999728139504,46618.434722897604,47508.62661191664
2025-06-20,50261.9684988034,46632.32253036575,47515.703111410716
2025-06-23,50733.6287804276,47069.92207201496,47952.08919042045
2025-06-24,51336.06848442804,47628.856857522136,48521.49932552248
2025-06-25,51225.22378464622,47526.01675902637,48416.731835831815
2025-06-26,51709.41652569583,47975.243734050746,48874.378057131136
2025-06-27,52193.47152953132,48424.342918493385,49331.89409284479
2025-06-30,52509.114326173076,48717.19170927911,49630.23134765433
2025-07-01,53014.94851847193,49186.497307660684,50108.3324984641
2025-07-02,52993.50541010887,49166.602703945275,50088.0650374237
2025-07-03,53395.660118382635,49539.7159866806,50468.17107168655
2025-07-07,52907.63841168801,49086.936553082705,50006.90581294539
2025-07-08,52714.493839274066,48907.73983109179,49824.350652085064
2025-07-09,52969.42454098674,49144.260824204925,50065.304434413745
2025-07-10,53205.44219926633,49363.23457100549,50288.38210641149
2025-07-11,52856.2241439396,49039.23514408669,49958.31040173595
2025-07-14,52976.7624269057,49151.068807916745,50072.24001084525
2025-07-15,52448.88284545298,48661.309818471585,49573.302139060535
2025-07-16,52711.9956918521,48905.42208628812,49821.989468963155
2025-07-17,53053.05241366811,49221.849546809324,50144.34729623971
2025-07-18,52841.44780396816,49025.52587101309,49944.34419452289
2025-07-21,52863.09139788665,49045.60648230764,49964.80114922787
2025-07-22,53044.61425684277,49214.02074777114,50136.37177273749
2025-07-23,53668.67364656729,49793.01396289821,50726.216265149094
2025-07-24,53299.21870482035,49450.2390474193,50377.017188631915
2025-07-25,53526.7418376702,49661.33169721128,50592.066059007775
2025-07-28,53445.64742850623,49586.09348516963,50515.41776014658
2025-07-29,53224.09535767617,49380.54069977755,50306.01258026589
2025-07-30,53019.173158389254,49190.41686706283,50112.32551680289
2025-07-31,52610.82291735193,48811.55545923996,49726.363628212224
2025-08-01,51940.072191352905,48189.24270216981,49092.38771498024
2025-08-04,52663.72924163464,48860.6411765633,49776.36929194509
2025-08-05,52583.85807107812,48786.537867490595,49700.877165985694
2025-08-06,52682.82118700134,48878.35440548495,49794.41449566992
2025-08-07,52417.44435566844,48632.141645411764,49543.587306859496
2025-08-08,52679.36365738764,48875.14655985297,49791.14652977825
2025-08-11,52451.93515875548,48664.14171031023,49576.18710517151
2025-08-12,53007.27592408668,49179.3787863074,50101.08056440918
2025-08-13,53570.90308209138,49702.30385677243,50633.80610367144
2025-08-14,53540.53941563321,49674.132889144785,50605.10716615898
2025-08-15,53618.28374906915,49746.26294970498,50678.589061710045
2025-08-18,53561.01401464924,49693.12892399008,50624.45921768292
2025-08-19,53589.758644582,49719.79777310353,50651.627884530026
2025-08-20,53598.168584191895,49727.600392620094,50659.57673786369
2025-08-21,53430.08799216753,49571.65766668882,50500.71139088027
2025-08-22,54462.53752169843,50529.54930713573,51476.55548314778
2025-08-25,54036.07385727144,50133.88252883365,51073.47326402282
2025-08-26,54205.55126051998,50291.12119588035,51233.65884017206
2025-08-27,54389.326665380446,50461.62534063556,51407.35851072026
2025-08-28,54479.93784369871,50545.69307252902,51493.00180903766
2025-08-29,54396.44340167672,50468.22814494753,51414.085062355276
2025-09-02,54102.40781890346,50195.42621257569,51136.17037678601
2025-09-03,54060.740470236815,50156.76785318304,51096.78749668022
2025-09-04,54512.51046559685,50575.91347685023,51523.788593030295
2025-09-05,54266.85273339164,50347.99580982642,51291.599377155304
2025-09-08,54411.09492835542,50481.82161806548,51427.93329933264
2025-09-09,54627.091964411244,50682.22052307848,51632.08800670912
2025-09-10,54378.8704268189,50451.92419474694,51397.47554953351
2025-09-11,55092.08453740734,51113.633861748145,52071.58673505149
2025-09-12,54781.64834764227,50825.61568501145,51778.170627877786
2025-09-15,54871.09000698864,50908.5983542316,51862.7085276775
2025-09-16,54717.24836149273,50765.86631556228,51717.30145778412
2025-09-17,55012.64766883443,51039.933491732125,51996.50509988396
2025-09-18,55176.03278834724,51191.519826635944,52150.93240996609
2025-09-19,55370.67072137688,51372.10206686194,52334.899055933216
2025-09-22,55459.1469062715,51454.18898294362,52418.52441471951
2025-09-23,55363.64445082385,51365.5831953493,52328.25801013509
2025-09-24,55142.73320689932,51160.624959829394,52119.45852296098
2025-09-25,54952.41432328602,50984.04987076408,51939.57412870359
2025-09-26,55292.82275037084,51299.87585287322,52261.319204881525
2025-09-29,55384.00210982926,51384.47073495546,52347.49953304213
2025-09-30,55467.84317216094,51462.25725181327,52426.743896108455
2025-10-01,55530.56163880827,51520.44653195217,52486.02373827341
2025-10-02,55632.22102414093,51614.76462944539,52582.10951076196
2025-10-03,55918.98041730994,51880.81581904786,52853.14693363079
2025-10-06,55839.1484068711,51806.74884216215,52777.691820782835
2025-10-07,55735.3729454101,51710.467480048326,52679.60598889226
2025-10-08,55747.76497668868,51721.96462623359,52691.318610350776
2025-10-09,55440.43514173757,51436.828480263,52400.8385479008
2025-10-10,54412.444657063534,50483.07387670804,51429.20902734479
2025-10-13,55105.29860051904,51125.89367709891,52084.07631933968
2025-10-14,55353.55370292297,51356.2211463739,52318.72050109083
2025-10-15,55354.542742939186,51357.13876329996,52319.65531565487
2025-10-16,54978.355017827394,51008.1172694483,51964.09258969703
2025-10-17,55262.64292830459,51271.87545339551,52232.79403224433
2025-10-20,55888.188347743075,51852.247385253744,52824.043080787575
2025-10-21,56151.43356151321,52096.482461589774,53072.85552084168
2025-10-22,55739.760336349886,51714.53803747934,52683.75283520931
2025-10-23,55920.56950220511,51882.29014887561,52854.6488948044
2025-10-24,56507.82201852976,52427.13448279128,53409.70450026827
2025-10-27,56883.18992161013,52775.395357699264,53764.49235204271
2025-10-28,57100.0123166504,52976.56001876032,53969.42716698467
2025-10-29,57007.525295896055,52890.75190756803,53882.01087182152
2025-10-30,56845.298547384,52740.2402924122,53728.6784234885
2025-10-31,56924.33190484565,52813.566290694514,53803.37867058536
2025-11-03,56661.37470887822,52569.59843308215,53554.83845736968
