,SPY,QQQ,SMH
2022-08-22,19681.94940690472,15000.0,12703.088997152085
2022-08-23,19634.55865983441,15000.0,12784.82297542357
2022-08-24,19697.118169111756,15000.0,12776.482933309311
2022-08-25,19973.90955094769,15000.0,13202.387810018296
2022-08-26,19300.888615889096,15000.0,12473.4556048181
2022-08-29,19173.86530045941,15000.0,12243.82134273314
2022-08-30,18964.377385420346,15000.0,12104.81774165892
2022-08-31,18820.76471452191,15000.0,12023.084633138413
2022-09-01,18879.535466475034,15000.0,11762.313286092514
2022-09-02,18681.41687516644,15000.0,11904.336043830917
2022-09-06,18611.276799482846,15000.0,11904.336043830917
2022-09-07,18943.996220869565,15000.0,11904.336043830917
2022-09-08,19067.226201338315,15000.0,11904.336043830917
2022-09-09,19362.02905778363,15000.0,11904.336043830917
2022-09-12,19569.145757002378,15000.0,11904.336043830917
2022-09-13,18722.182256025815,15000.0,11904.336043830917
2022-09-14,18793.272954268003,15000.0,11904.336043830917
2022-09-15,18580.943852705506,15000.0,11904.336043830917
2022-09-16,18439.88397721722,15000.0,11904.336043830917
2022-09-19,18582.179814619565,15000.0,11904.336043830917
2022-09-20,18369.92548112347,15000.0,11904.336043830917
2022-09-21,18051.07019547894,15000.0,11904.336043830917
2022-09-22,17900.206548018003,15000.0,11904.336043830917
2022-09-23,17601.81024674847,15000.0,11904.336043830917
2022-09-26,17428.578740400815,15000.0,11904.336043830917
2022-09-27,17384.32214860394,15000.0,11904.336043830917
2022-09-28,17724.59314469769,15000.0,11904.336043830917
2022-09-29,17356.244450850034,15000.0,11904.336043830917
2022-09-30,17089.264470381284,15000.0,11904.336043830917
2022-10-03,17267.567694712405,15000.0,11904.336043830917
2022-10-04,17267.567694712405,15000.0,11904.336043830917
2022-10-05,17267.567694712405,15000.0,11904.336043830917
2022-10-06,17267.567694712405,15000.0,11904.336043830917
2022-10-07,17267.567694712405,15000.0,11904.336043830917
2022-10-10,17267.567694712405,15000.0,11904.336043830917
2022-10-11,17267.567694712405,15000.0,11904.336043830917
2022-10-12,17267.567694712405,15000.0,11904.336043830917
2022-10-13,17267.567694712405,15000.0,11904.336043830917
2022-10-14,17267.567694712405,15000.0,11904.336043830917
2022-10-17,17267.567694712405,15000.0,11904.336043830917
2022-10-18,17267.567694712405,15000.0,11904.336043830917
2022-10-19,17267.567694712405,15000.0,11904.336043830917
2022-10-20,17267.567694712405,15000.0,11904.336043830917
2022-10-21,17267.567694712405,15000.0,11904.336043830917
2022-10-24,17267.567694712405,15000.0,11904.336043830917
2022-10-25,17267.567694712405,15000.0,11904.336043830917
2022-10-26,17267.567694712405,15000.0,11904.336043830917
2022-10-27,17267.567694712405,15000.0,11904.336043830917
2022-10-28,17267.567694712405,15000.0,11904.336043830917
2022-10-31,17250.293132284063,15000.0,11904.336043830917
2022-11-01,17176.299785116094,15000.0,11904.336043830917
2022-11-02,16753.79270503797,15000.0,11904.336043830917
2022-11-03,16597.92232171846,15000.0,11904.336043830917
2022-11-04,16597.92232171846,15000.0,11904.336043830917
2022-11-07,16597.92232171846,15000.0,11904.336043830917
2022-11-08,16629.02100137662,15000.0,11934.13372637104
2022-11-09,16291.93848184537,15000.0,11611.625639212834
2022-11-10,16881.039486919737,15000.0,12790.979139579047
2022-11-11,16996.23684583488,15000.0,13208.096052420844
2022-11-14,16854.26272474113,15000.0,13083.735578788031
2022-11-15,16995.394926889567,15000.0,13493.712431205024
2022-11-16,16868.085234506754,15000.0,13010.546934378852
2022-11-17,16817.408964975504,15000.0,13108.130552542914
2022-11-18,16892.373320444254,15000.0,13131.933546317328
2022-11-21,16832.065337045817,15000.0,12903.439512503852
2022-11-22,17054.44875989738,15000.0,13276.524656546822
2022-11-23,17159.98538099113,15000.0,13391.366911185492
2022-11-25,17156.213530405195,15000.0,13234.872907889594
2022-11-28,16887.350005014567,15000.0,12924.266783011664
2022-11-29,16858.872465952067,15000.0,12889.159391654242
2022-11-30,17380.272734506754,15000.0,13620.452924979438
2022-12-01,17367.711088998945,15000.0,13577.014997733344
2022-12-02,17348.02737317863,15000.0,13391.366911185492
2022-12-05,17041.46682630363,15000.0,13232.492887747992
2022-12-06,16800.23892103019,15000.0,12943.902647269477
2022-12-07,16772.18032728019,15000.0,12940.926924002873
2022-12-08,16901.16848645988,15000.0,13268.789823783149
2022-12-09,16777.20364270988,15000.0,13162.872877372014
2022-12-12,17014.66506849113,15000.0,13396.127882254828
2022-12-13,17141.13821302238,15000.0,13753.255518065338
2022-12-14,17033.508208139567,15000.0,13458.306037207489
2022-12-15,16624.343657358317,15000.0,13071.832803913921
2022-12-16,16431.698637827067,15000.0,12885.794832862784
2022-12-19,16294.95999036613,15000.0,12879.045574221362
2022-12-20,16316.839140756754,15000.0,12879.045574221362
2022-12-21,16556.23013196769,15000.0,12879.045574221362
2022-12-22,16324.412382944254,15000.0,12595.981578740717
2022-12-23,16416.548125131754,15000.0,12501.706391418365
2022-12-27,16353.02151380363,15000.0,12501.706391418365
2022-12-28,16153.599516733317,15000.0,12501.706391418365
2022-12-29,16438.847563608317,15000.0,12501.706391418365
2022-12-30,16396.352812631754,15000.0,12501.706391418365
2023-01-03,16328.621977670817,15000.0,12501.706391418365
2023-01-04,16452.31155286613,15000.0,12501.706391418365
2023-01-05,16268.03469739738,15000.0,12501.706391418365
2023-01-06,16634.059965952067,15000.0,12501.706391418365
2023-01-09,16624.805571420817,15000.0,12536.03199026284
2023-01-10,16739.243437631754,15000.0,12698.205780240865
2023-01-11,16947.077910288004,15000.0,12846.53027364907
2023-01-12,17007.663847788004,15000.0,13038.13794729409
2023-01-13,17072.454008920817,15000.0,13084.884567472314
2023-01-17,17041.73940931144,15000.0,13162.22193166909
