episode,win_start,win_end,qqq_ret,qqq_depth_reported,run,n_names,mean_ret,median_ret,mean_sharpe,mean_mdd,mean_vs_qqq,pct_positive,pct_beat_qqq,mean_trades,mean_exposure
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,59,30,-0.0547248987306878,-0.0440839196353372,-1.816252422773636,-0.0757549040080832,0.1729581547035218,0.0666666666666666,1.0,1.6,0.3457142857142857
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,60,30,-0.0791787857467803,-0.0641289353946527,-2.2946312710195693,-0.1014524465235247,0.1485042676874293,0.0,0.9333333333333332,1.6333333333333333,0.4019047619047619
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,61,30,-0.0676304607217787,-0.0624394550290218,-1.834945091538904,-0.0935410450091994,0.1600525927124309,0.0666666666666666,0.9666666666666668,1.8666666666666667,0.4209523809523809
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,62,30,-0.0644365621959225,-0.0345194866754072,-1.811571986546307,-0.0821986239908855,0.1632464912382871,0.0333333333333333,0.9666666666666668,1.7,0.299047619047619
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,63,30,-0.0672045114860603,-0.0414984081998476,-2.037014854717336,-0.0812603794697238,0.1604785419481494,0.0666666666666666,0.9666666666666668,1.7,0.28
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,64,30,-0.0651693731827924,-0.047333590227485,-1.9941634759443545,-0.0840566785077603,0.1625136802514173,0.1,0.9666666666666668,1.5666666666666669,0.2895238095238095
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,65,30,-0.0762863614009161,-0.055711954117031,-2.1694004835722827,-0.0966426769700738,0.1513966920332935,0.0666666666666666,0.9666666666666668,1.9666666666666663,0.3495238095238094
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,66,30,-0.0649864649543888,-0.0704226458167744,-2.1178442007635248,-0.0795226342108669,0.1626965884798208,0.1,1.0,1.7,0.3085714285714286
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,67,30,-0.0444458556633619,-0.0219121943496307,-1.4854201252739114,-0.063705581338186,0.1832371977708478,0.1,1.0,1.4666666666666666,0.3142857142857143
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,68,30,-0.0676909191628516,-0.055711954117031,-2.3961894532559045,-0.0831252599682971,0.159992134271358,0.0333333333333333,0.9666666666666668,1.5,0.2942857142857142
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,69,30,-0.0576141436197702,-0.0500148359091673,-1.9263323913877188,-0.0738644192325744,0.1700689098144395,0.0666666666666666,1.0,1.8333333333333333,0.3133333333333333
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,70,30,-0.0492839524847733,-0.0233487288229701,-1.7834315804799126,-0.064962359294312,0.1783991009494363,0.0333333333333333,1.0,1.2,0.2619047619047619
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,71,30,-0.0518813905784471,-0.0345194866754072,-1.736461363418873,-0.0656020769856323,0.1758016628557626,0.0333333333333333,0.9666666666666668,1.3666666666666667,0.3047619047619047
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,72,30,-0.0707306963279349,-0.0685400713841528,-2.494883663968118,-0.0886808960922443,0.1569523571062748,0.1333333333333333,1.0,1.9,0.3676190476190477
